"","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"2020-07-01",93.309998,96,92.260002,93.18,669200,92.375038
"2020-07-02",95.029999,98.389999,93.339996,93.610001,1077700,92.801315
"2020-07-06",95.459999,96.870003,93,94.82,967800,94.000862
"2020-07-07",93.480003,94,90.739998,91.169998,476300,90.382393
"2020-07-08",91.739998,91.879997,88.989998,90.699997,480500,89.916443
"2020-07-09",89.75,90.339996,86.669998,88.610001,563400,87.844521
"2020-07-10",88.18,89.919998,87,89.760002,457300,88.984581
"2020-07-13",89.900002,92,89.089996,90.080002,614100,89.301811
"2020-07-14",89.690002,92.940002,88.809998,92.68,624200,91.879349
"2020-07-15",94.900002,98.599998,94.849998,97.949997,564400,97.103828
"2020-07-16",97.389999,99.449997,95.540001,98.400002,503200,97.549942
"2020-07-17",99.029999,99.199997,96.620003,97.599998,612500,96.756844
"2020-07-20",97.599998,97.639999,95.029999,96.029999,595900,95.200409
"2020-07-21",96.690002,101.470001,96.690002,100.199997,1180300,99.334381
"2020-07-22",102.120003,106.959999,101.550003,106.010002,1096500,105.094193
"2020-07-23",105.760002,107.910004,105.75,107.5,862100,106.57132
"2020-07-24",108.209999,108.779999,106.690002,108.080002,657000,107.146317
"2020-07-27",107.099998,110.269997,105.779999,109.370003,980700,108.425163
"2020-07-28",112,114.410004,108.089996,109.07,1014500,108.127769
"2020-07-29",110.160004,114.830002,110.160004,113.120003,743200,112.142776
"2020-07-30",111.510002,113.059998,108.559998,112.07,588300,111.101845
"2020-07-31",111.269997,111.57,108.379997,109.900002,652700,108.950592
"2020-08-03",110.300003,110.860001,107.110001,107.75,945500,106.81916
"2020-08-04",106.989998,109.059998,106.449997,106.709999,684500,105.788139
"2020-08-05",107.93,109.800003,107.230003,108.139999,650400,107.205788
"2020-08-06",108.279999,109.160004,106.779999,107.82,535600,106.888557
"2020-08-07",107.209999,110.110001,107.209999,109.440002,770100,108.494576
"2020-08-10",109.620003,114.099998,109.5,112.620003,642600,111.647102
"2020-08-11",114.099998,115.440002,112.68,112.959999,559000,111.984161
"2020-08-12",113.839996,114.199997,112.339996,113.459999,449400,112.479836
"2020-08-13",112.5,113,110.879997,111.93,414400,110.963051
"2020-08-14",111.489998,114.449997,111.360001,114.160004,426300,113.17379
"2020-08-17",114.599998,115.279999,113.459999,114.389999,449600,113.401794
"2020-08-18",114.709999,114.75,111.379997,112.110001,515900,111.141495
"2020-08-19",112.349998,113.75,111.699997,111.879997,463200,110.913483
"2020-08-20",110.75,112.389999,109.160004,110.220001,332100,109.267822
"2020-08-21",110.050003,111.330002,108.169998,108.699997,778400,107.760956
"2020-08-24",109.800003,112.68,108.209999,111.080002,457700,110.120407
"2020-08-25",111.599998,111.599998,108.139999,109.699997,406800,108.752319
"2020-08-26",109.480003,109.589996,106.730003,108.300003,541000,107.364418
"2020-08-27",109.389999,113.370003,108.800003,111.940002,359700,110.972961
"2020-08-28",112.089996,112.690002,110.959999,112.620003,202200,111.647102
"2020-08-31",111.970001,112.68,110.209999,110.349998,562100,109.396698
"2020-09-01",109.449997,110.699997,108.57,110.57,458400,109.614799
"2020-09-02",110.449997,112.879997,108.900002,112.339996,505700,111.369514
"2020-09-03",113.5,114.599998,111.059998,112.099998,576100,111.131584
"2020-09-04",113.349998,114.849998,111.480003,113.57,619000,112.588882
"2020-09-08",113.75,113.75,109.059998,109.32,656900,108.37561
"2020-09-09",110.169998,112.580002,109.769997,111.220001,552900,110.259193
"2020-09-10",112.080002,114.169998,111.690002,112.879997,672300,111.904839
"2020-09-11",112.910004,114,112.260002,113.199997,956200,112.222084
