"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2020-07-01",295.829987,300.399994,295.23999,297.730011,2303800,289.45694
"2020-07-02",300.5,303.079987,297.179993,298.26001,1971700,289.972198
"2020-07-06",303,303.48999,299.329987,302.809998,2395000,294.395752
"2020-07-07",300.660004,303.559998,295.950012,296.649994,2075700,288.406891
"2020-07-08",297.350006,300.869995,295.679993,298.359985,1987400,290.069366
"2020-07-09",295.100006,298.549988,287.5,291.160004,3061700,283.069458
"2020-07-10",294.23999,294.23999,287.100006,291.230011,2391600,283.137512
"2020-07-13",292.089996,304.519989,291.769989,299.709991,4263300,291.381897
"2020-07-14",297.809998,309.73999,296.709991,308.519989,4234900,299.947113
"2020-07-15",301.119995,310.690002,298.660004,304.070007,5116900,295.620697
"2020-07-16",305.01001,310.850006,303.160004,307.149994,3844500,298.615173
"2020-07-17",309.089996,310.970001,306.25,306.529999,3016500,298.01236
"2020-07-20",306.790009,308.600006,302.380005,303.459991,2375500,295.027679
"2020-07-21",305.029999,307,303.109985,305.109985,2340200,296.631836
"2020-07-22",304.859985,306.910004,301.809998,306.709991,1935800,298.187347
"2020-07-23",308.200012,308.5,301.269989,302.970001,2367700,294.551331
"2020-07-24",303.329987,304.279999,299.230011,300.790009,2415700,292.431885
"2020-07-27",298.429993,302.130005,297.369995,298.600006,2060500,290.302734
"2020-07-28",297.890015,301.399994,297.209991,299.929993,2257400,291.595795
"2020-07-29",301.459991,309.75,300,306.679993,2672700,298.158203
"2020-07-30",301.679993,306.459991,298.890015,305.230011,2205300,296.748505
"2020-07-31",303.440002,303.73999,298.049988,302.779999,3913500,294.366577
"2020-08-03",303.589996,304.910004,299.200012,303.609985,2628500,295.173462
"2020-08-04",301.910004,308.859985,300.070007,304.5,3594900,296.038788
"2020-08-05",306.829987,312.959991,305.019989,312.470001,2982200,303.787323
"2020-08-06",312,316.23999,310.399994,314.059998,3305300,305.33313
"2020-08-07",313.339996,319,313.339996,317.029999,2600800,308.220581
"2020-08-10",317,320.470001,315.579987,319.100006,2563600,310.233124
"2020-08-11",322.920013,324.570007,314.660004,315.549988,3018200,306.781769
"2020-08-12",318,323.290009,317.640015,322.269989,2915800,313.315002
"2020-08-13",320.679993,321.869995,317.839996,321.519989,2159500,312.585846
"2020-08-14",320.540009,323.929993,318.730011,323.700012,1787200,314.705292
"2020-08-17",321.450012,323.799988,319.350006,320.51001,2772500,311.603943
"2020-08-18",321.980011,322.670013,315.709991,316.809998,2520000,308.006683
"2020-08-19",316.769989,319.48999,315.179993,315.399994,2066700,306.635895
"2020-08-20",314.829987,315.279999,312.01001,313.329987,2245600,304.623413
"2020-08-21",311.279999,315.279999,310.089996,314.140015,2488500,305.410919
"2020-08-24",316.809998,316.899994,306.48999,308.839996,2922200,300.258209
"2020-08-25",312.200012,312.359985,307.799988,312.220001,1879300,303.544281
"2020-08-26",310.980011,311.359985,303.609985,308.820007,3178900,300.238739
"2020-08-27",310.410004,314.769989,305.48999,311.670013,2321000,303.009552
"2020-08-28",312.339996,315.820007,308.970001,314.369995,2883500,305.63446
