"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2020-07-01",169.490005,170.729996,166.229996,166.880005,2914100,160.421005
"2020-07-02",169.179993,170.690002,167.889999,169.080002,2271400,162.535858
"2020-07-06",171.080002,172.360001,170.110001,172.160004,2498100,165.496628
"2020-07-07",170.399994,172.199997,169.25,169.779999,2380800,163.208755
"2020-07-08",169.589996,172.279999,168.789993,169.039993,3362600,162.497406
"2020-07-09",169.490005,169.490005,164.720001,165.990005,2977500,159.565445
"2020-07-10",166,167.259995,164.669998,166.389999,2300300,159.949982
"2020-07-13",168.229996,170.960007,166.710007,169.169998,2975900,162.62236
"2020-07-14",168.259995,172.589996,168.009995,171.889999,3015300,165.237091
"2020-07-15",174.770004,175.479996,173.419998,174.389999,2493000,167.640305
"2020-07-16",174.220001,178.380005,173.970001,176.869995,3319700,170.024338
"2020-07-17",177.839996,182.520004,176.889999,181.25,6132900,174.234818
"2020-07-20",180.270004,181.039993,176.289993,177.389999,2885700,170.524216
"2020-07-21",177.830002,180.399994,177.830002,178.660004,2230700,171.745071
"2020-07-22",177.339996,180.490005,177.169998,179.380005,2951300,172.43721
"2020-07-23",178.770004,179.520004,172.839996,175,4010600,168.226715
"2020-07-24",175.639999,177.070007,174.720001,176.119995,2720300,169.303345
"2020-07-27",175.570007,179.240005,175.059998,176.820007,2738200,169.976288
"2020-07-28",176.360001,177.279999,174.089996,174.410004,1965800,167.659561
"2020-07-29",174.440002,178.380005,174.289993,177.979996,2736700,171.091385
"2020-07-30",175.869995,176.419998,172.369995,172.800003,2775500,166.111862
"2020-07-31",172.410004,173.690002,167.570007,173.350006,5089500,166.640579
"2020-08-03",173.860001,174.440002,171.660004,172.059998,1982800,165.400497
"2020-08-04",171.880005,173.699997,171.449997,173.679993,1719600,166.957809
"2020-08-05",174.470001,177.990005,174.279999,177.470001,3040300,170.601105
"2020-08-06",177.729996,180.570007,177.199997,179.610001,1971400,172.658279
"2020-08-07",179.679993,182.960007,179.149994,182.929993,2192500,175.849792
