"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2020-07-01",117.860001,119.910004,114.25,114.419998,8982100,108.893723
"2020-07-02",115.610001,115.879997,114.25,114.360001,3442900,108.836624
"2020-07-06",115.669998,115.790001,114.610001,115.360001,3445900,109.788338
"2020-07-07",114.160004,115.449997,113.870003,114.449997,2194700,108.922279
"2020-07-08",114.519997,115.269997,113.980003,114.470001,3051600,108.941322
"2020-07-09",114.5,115.040001,113.709999,114.449997,2366200,108.922279
"2020-07-10",114.699997,115.660004,113.989998,115.07,2281800,109.512329
"2020-07-13",115.620003,115.760002,113.720001,113.760002,2301700,108.265617
"2020-07-14",113.57,115.650002,113.050003,115.330002,2538000,109.759781
"2020-07-15",116.720001,119.709999,116.110001,119.209999,4841800,113.45237
"2020-07-16",118.800003,119.849998,118.169998,119.739998,2528200,113.956779
"2020-07-17",120,120.68,118.459999,118.550003,2782400,112.824272
"2020-07-20",118.419998,118.720001,117.059998,118.349998,2365900,112.633919
"2020-07-21",119,120.300003,118.82,119.040001,2054400,113.290604
"2020-07-22",118.75,119.25,117.900002,118.720001,3508200,112.986046
"2020-07-23",118.709999,119.400002,117.949997,118.139999,2349200,112.434052
"2020-07-24",118.160004,119.480003,117.559998,118.349998,2539000,112.633919
"2020-07-27",118.120003,121.779999,117.540001,121.010002,4446000,115.165436
"2020-07-28",120.220001,120.739998,119.230003,119.620003,2497600,113.842575
"2020-07-29",120.580002,124.300003,120.43,123.68,6769600,117.70649
"2020-07-30",137.660004,145.5,135.149994,141.460007,30970900,134.627747
"2020-07-31",141.820007,144.130005,139.699997,142.759995,7429900,135.86496
"2020-08-03",143.470001,143.5,140.539993,142.179993,4317200,135.312958
"2020-08-04",141.630005,145.940002,141.339996,144.720001,4841700,137.73027
"2020-08-05",145.350006,146,143.279999,145.080002,3939300,138.072891
"2020-08-06",144.970001,145.660004,144.440002,145.470001,2420900,138.444077
"2020-08-07",145.679993,156.899994,145.589996,156.899994,10074200,149.322006
"2020-08-10",157.470001,162.699997,157,159.589996,7396400,151.882111
"2020-08-11",160.660004,161.259995,154.880005,155.850006,6071900,148.322723
"2020-08-12",157.25,160.25,156.399994,157.789993,4247200,150.169037
"2020-08-13",156.770004,159.720001,156.479996,159.289993,2848200,151.596603
"2020-08-14",158.729996,162.429993,158.380005,160.740005,3479000,152.976563
"2020-08-17",161.110001,162.139999,159.75,160.300003,2408900,152.557816
"2020-08-18",160.389999,161.350006,159.050003,159.990005,2606600,152.262772
"2020-08-19",160.550003,161.889999,159.860001,160.339996,2691600,152.595886
"2020-08-20",159.160004,160.259995,157.309998,159.550003,2296700,151.84404
"2020-08-21",158.759995,160.240005,157.520004,159.029999,4420700,152.313339
"2020-08-24",159.720001,161.059998,159.070007,160.350006,4084000,153.577576
"2020-08-25",161.559998,162.399994,158.050003,159.039993,2931500,152.322922
"2020-08-26",159.009995,159.970001,157.860001,158.899994,2761700,152.188843
"2020-08-27",159.740005,160.970001,158.720001,160.210007,2913400,153.443512
"2020-08-28",160.520004,162.610001,159.339996,162.360001,2979800,155.502716
"2020-08-31",161.729996,165.220001,161.259995,163.619995,3960900,156.709488
"2020-09-01",163.130005,164.139999,161.550003,162.649994,3097000,155.780426
"2020-09-02",163.25,166.199997,162.199997,165.779999,3778000,158.778259
"2020-09-03",162.270004,163.449997,156.949997,158.020004,4759900,151.345993
"2020-09-04",160.240005,161.850006,154.630005,160.779999,3601300,153.989426
"2020-09-08",160.029999,160.059998,155.960007,156.449997,3176400,149.8423
"2020-09-09",158.050003,160.960007,158.050003,159.800003,2317600,153.050842
"2020-09-10",160.990005,161.259995,157.080002,157.889999,2450900,151.221481
"2020-09-11",158.490005,160.610001,157.429993,158.869995,2466800,152.160095
