"","USB.Open","USB.High","USB.Low","USB.Close","USB.Volume","USB.Adjusted"
"2020-07-01",36.919998,37.130001,35.799999,35.98,6902400,33.562943
"2020-07-02",36.990002,37.220001,35.779999,35.889999,5768200,33.478985
"2020-07-06",36.73,37.650002,36.400002,36.830002,6069500,34.355839
"2020-07-07",36.330002,36.360001,35.470001,35.580002,6683600,33.189816
"2020-07-08",35.529999,35.93,34.889999,35.509998,5969900,33.124512
"2020-07-09",35.310001,35.529999,34.009998,34.220001,6103500,31.921171
"2020-07-10",34.419998,36.490002,34.25,36.439999,8974900,33.992039
"2020-07-13",36.75,37.27,35.849998,36.830002,6708000,34.355839
"2020-07-14",36.540001,37.080002,35.740002,36.290001,7961500,33.852116
"2020-07-15",38.169998,38.360001,37.110001,37.639999,7798200,35.111427
"2020-07-16",37.169998,38.470001,37.02,37.560001,6105600,35.0368
"2020-07-17",37.52,37.57,36.009998,36.029999,9154500,33.609577
"2020-07-20",35.84,36.130001,35.490002,35.57,7234100,33.180485
"2020-07-21",35.82,36.970001,35.77,36.599998,9232100,34.141289
"2020-07-22",36.41,36.779999,36.02,36.259998,6305500,33.824131
"2020-07-23",36.09,36.91,36,36.77,5988200,34.29987
"2020-07-24",36.91,37.48,36.779999,36.919998,7385800,34.439793
"2020-07-27",36.599998,36.619999,35.59,36.16,6452300,33.730846
"2020-07-28",35.990002,36.509998,35.919998,36.32,7658800,33.8801
"2020-07-29",36.27,37.830002,36.009998,37.709999,6527700,35.17672
"2020-07-30",36.66,37.040001,36.02,36.91,6202100,34.430466
"2020-07-31",36.650002,36.869999,36.080002,36.84,7707300,34.36517
"2020-08-03",36.790001,37.09,36.369999,36.799999,4683700,34.327858
"2020-08-04",36.630001,36.75,36.16,36.23,4098900,33.796146
"2020-08-05",36.5,36.950001,36.48,36.860001,4585300,34.383823
"2020-08-06",36.639999,37.150002,36.540001,36.790001,3227200,34.318523
"2020-08-07",36.360001,37.470001,36.099998,37.459999,7818900,34.94352
"2020-08-10",37.73,37.990002,37.240002,37.470001,7739300,34.952847
"2020-08-11",38.439999,39.349998,38.060001,38.27,7527000,35.699108
"2020-08-12",39.110001,39.16,37.400002,37.810001,4864100,35.270008
"2020-08-13",37.450001,37.799999,37.07,37.369999,4084600,34.859558
"2020-08-14",37.009998,37.959999,36.860001,37.779999,3971800,35.24202
"2020-08-17",37.57,37.619999,36.849998,36.93,5522600,34.449123
"2020-08-18",36.900002,37.029999,36.27,36.330002,4335500,33.889431
"2020-08-19",36.34,36.900002,36.040001,36.16,4218700,33.730846
"2020-08-20",35.740002,35.939999,35.349998,35.610001,4373400,33.2178
"2020-08-21",35.599998,35.73,35.029999,35.209999,5999700,32.844673
"2020-08-24",35.400002,36.759998,35.330002,36.75,5276300,34.281212
"2020-08-25",37.119999,37.41,36.400002,36.610001,4890800,34.15062
"2020-08-26",36.470001,36.68,36.189999,36.220001,4649000,33.786823
"2020-08-27",36.220001,37.279999,36.189999,36.939999,5600600,34.45845
"2020-08-28",37.349998,37.349998,36.669998,37.200001,4666600,34.700981
"2020-08-31",36.970001,37.060001,36.240002,36.400002,6037300,33.954731
"2020-09-01",36.16,36.900002,35.950001,36.689999,5984200,34.225246
"2020-09-02",36.639999,37.77,36.509998,37.610001,8346100,35.083435
"2020-09-03",37.970001,38.939999,37.27,37.459999,9892300,34.94352
"2020-09-04",38.32,38.75,37.540001,38.310001,8406900,35.736423
"2020-09-08",37.610001,37.950001,36.43,36.720001,9781700,34.253231
"2020-09-09",37.009998,37.080002,36.43,36.529999,5718900,34.075993
"2020-09-10",36.740002,37.18,35.740002,35.779999,7381700,33.376381
"2020-09-11",35.799999,36.75,35.650002,36.68,6330300,34.215916
"2020-09-14",37.02,38.240002,36.93,37.869999,5797000,35.325977
"2020-09-15",37.889999,38.080002,37.110001,37.32,7353500,34.812923
"2020-09-16",37.32,38.720001,37.169998,38.16,5697300,35.596497
"2020-09-17",37.68,38.150002,37.450001,37.889999,6422600,35.344631
"2020-09-18",37.549999,38.049999,37.389999,37.619999,7800000,35.092766
"2020-09-21",36.68,37.18,35.619999,36.16,8109100,33.730846
"2020-09-22",36.259998,36.400002,35.32,35.59,7230500,33.199146
"2020-09-23",35.810001,36.23,34.490002,34.5,6665800,32.182362
"2020-09-24",34.68,35.32,34.169998,34.73,6961400,32.396915
"2020-09-25",34.400002,35.23,34.209999,35.16,4565600,32.798031
"2020-09-28",35.880001,36.459999,35.669998,36.099998,5622700,33.674877
"2020-09-29",35.5,35.580002,34.720001,35.299999,5202800,33.316235
"2020-09-30",35.450001,36.169998,35.34,35.849998,9457500,33.835323
"2020-10-01",36.029999,36.09,35.439999,36,4618100,33.976898
"2020-10-02",35.369999,36.950001,35.25,36.77,5406100,34.703625
"2020-10-05",37.32,37.919998,37.110001,37.73,5471700,35.60968
"2020-10-06",38.150002,38.799999,37.27,37.419998,6061100,35.317097
"2020-10-07",38.049999,39.060001,37.990002,38.790001,7673000,36.610107
"2020-10-08",39,39.66,38.790001,39.5,6988400,37.280209
"2020-10-09",39.700001,39.759998,38.580002,39.169998,6504700,36.96875
"2020-10-12",39.029999,39.970001,38.790001,39.75,7249500,37.516155
"2020-10-13",39.5,39.689999,38.32,38.419998,6460000,36.260895
"2020-10-14",38.439999,39.509998,38.220001,38.25,7761200,36.10046
"2020-10-15",38.200001,39.349998,38.060001,39.139999,6006800,36.940437
"2020-10-16",39.25,39.700001,38.630001,39.139999,5679000,36.940437
"2020-10-19",39.349998,39.700001,38.860001,38.970001,6117200,36.779991
"2020-10-20",39.310001,39.830002,39.150002,39.209999,5666300,37.0065
"2020-10-21",39.009998,39.360001,38.779999,38.82,4911800,36.63842
"2020-10-22",38.77,40.549999,38.77,40.48,6366100,38.205132
"2020-10-23",40.880001,41.029999,40.07,40.66,5760500,38.375015
"2020-10-26",40.18,40.27,39.380001,39.959999,6300100,37.714355
"2020-10-27",39.630001,39.73,38.389999,38.41,6944000,36.251461
"2020-10-28",37.68,38.029999,37.18,37.299999,8437800,35.203831
