"","VICI.Open","VICI.High","VICI.Low","VICI.Close","VICI.Volume","VICI.Adjusted"
"2020-07-01",20.34,20.84,20.24,20.700001,2514900,18.748402
"2020-07-02",21.24,21.32,20.67,20.860001,4136400,18.893316
"2020-07-06",21.4,21.49,20.184999,20.219999,4423500,18.313654
"2020-07-07",19.9,20.459999,19.74,19.99,2779800,18.105337
"2020-07-08",20.059999,20.25,19.805,20.200001,2158800,18.29554
"2020-07-09",20.200001,20.309999,19.6,19.790001,9129100,17.924194
"2020-07-10",19.719999,20.1,19.555,19.959999,4395700,18.078165
"2020-07-13",20.09,20.450001,19.66,19.75,2585800,17.887964
"2020-07-14",19.74,19.879999,19.32,19.68,6223800,17.824564
"2020-07-15",20.09,21.190001,20.07,21.190001,4350400,19.192204
"2020-07-16",20.99,21.125,20.24,21.059999,6878900,19.074457
"2020-07-17",21.129999,21.700001,20.969999,21.549999,4457800,19.518259
"2020-07-20",21.559999,21.629999,20.92,21.129999,4622600,19.137859
"2020-07-21",21.200001,21.58,21.15,21.469999,4029100,19.445803
"2020-07-22",21.309999,22.299999,21.299999,22.26,8973700,20.161322
"2020-07-23",22.030001,22.219999,21.559999,21.6,5803300,19.563549
"2020-07-24",21.370001,21.59,21.01,21.030001,2356600,19.047287
"2020-07-27",21,21,20.344999,20.77,3104500,18.811798
"2020-07-28",20.620001,20.982,20.395,20.709999,5260900,18.757454
"2020-07-29",20.889999,21.57,20.709999,21.42,3427900,19.400518
"2020-07-30",20.969999,21.940001,20.969999,21.66,2751700,19.617889
"2020-07-31",21.690001,21.74,21.1,21.709999,2477400,19.663176
"2020-08-03",21.700001,22.059999,21.4,22,2474000,19.925835
"2020-08-04",21.99,22.74,21.99,22.700001,5922100,20.559837
"2020-08-05",22.82,22.943001,22.129999,22.360001,3307600,20.251894
"2020-08-06",22.299999,22.9,22.26,22.700001,2552000,20.559837
"2020-08-07",22.57,22.99,22.549999,22.879999,1691000,20.72287
"2020-08-10",23,23.440001,22.959999,23.129999,8169200,20.949297
"2020-08-11",23.34,23.66,23.17,23.27,3785700,21.076099
"2020-08-12",23.469999,23.66,23.299999,23.34,3023500,21.1395
"2020-08-13",23.280001,23.504999,22.969999,23.02,5811400,20.849669
"2020-08-14",22.85,23.23,22.690001,22.93,3770400,20.768154
"2020-08-17",22.959999,23.209999,22.66,23.190001,5600800,21.003641
"2020-08-18",23.190001,23.290001,22.790001,22.98,1828000,20.813438
"2020-08-19",22.93,23.17,22.82,23.110001,3072400,20.931185
"2020-08-20",23.049999,23.4,22.92,23.110001,1703300,20.931185
"2020-08-21",23.15,23.325001,22.16,22.52,2452900,20.396811
"2020-08-24",22.530001,23.01,22.440001,22.99,1318800,20.822498
"2020-08-25",23.01,23.15,22.700001,22.9,1162800,20.740982
"2020-08-26",22.9,22.99,22.629999,22.780001,1114400,20.632296
"2020-08-27",22.82,23.4,22.82,23.139999,2983400,20.958355
"2020-08-28",23.25,23.34,22.84,22.98,7706500,20.813438
"2020-08-31",23.030001,23.030001,22.33,22.34,5322100,20.233776
"2020-09-01",22.18,23.379999,22.040001,23.370001,3213600,21.166674
"2020-09-02",23.309999,23.610001,22.67,23.59,2995800,21.365931
"2020-09-03",23.66,23.74,22.795,22.92,3165700,20.759096
"2020-09-04",23.110001,23.65,22.33,22.879999,5158300,20.72287
"2020-09-08",22.620001,23.559999,22.500999,23.280001,4750500,21.085157
"2020-09-09",23.440001,23.91,23.280001,23.77,6259300,21.528957
"2020-09-10",23.73,24.4,23.68,23.75,3738600,21.510843
"2020-09-11",24.059999,24.129999,23.725,24.059999,2787000,21.791618
"2020-09-14",24.139999,24.940001,24.07,24.809999,3675700,22.470907
"2020-09-15",25.02,25.780001,24.9,25.42,8309700,23.023396
"2020-09-16",25.77,26.055,25.040001,25.1,12975700,22.733564
"2020-09-17",25.139999,25.18,24.205,24.469999,5312800,22.162962
"2020-09-18",24.299999,24.530001,23.620001,23.809999,13325300,21.565187
"2020-09-21",23.389999,23.51,22.709999,23.01,9327700,20.840614
"2020-09-22",22.969999,23.82,22.91,23.26,4956400,21.067041
"2020-09-23",23.25,23.57,22.809999,22.809999,5711800,20.659468
"2020-09-24",22.809999,23.34,22.655001,23.030001,4641700,20.858727
"2020-09-25",22.93,23.57,22.91,23.559999,3239600,21.33876
"2020-09-28",24.219999,24.34,23.84,24.190001,3321200,21.909365
"2020-09-29",23.75,23.77,23.209999,23.389999,8353800,21.477785
"2020-09-30",23.549999,23.940001,23.200001,23.370001,5697500,21.459423
"2020-10-01",23.629999,23.75,23.26,23.719999,10574200,21.780806
"2020-10-02",23.23,24.16,23.120001,24.059999,5321400,22.093012
"2020-10-05",24.33,24.42,23.780001,24.25,2407300,22.267475
"2020-10-06",24.360001,24.43,23.66,23.85,6357000,21.900181
"2020-10-07",24,24.1,23.68,23.719999,3869600,21.780806
"2020-10-08",23.889999,24.18,23.76,24.02,3504700,22.056282
"2020-10-09",24.25,24.379999,23.559999,23.639999,6848800,21.707346
"2020-10-12",23.83,23.91,23.59,23.870001,2414800,21.918545
"2020-10-13",23.690001,23.84,23.51,23.709999,4681800,21.771626
"2020-10-14",23.76,23.950001,23.530001,23.68,2229300,21.744078
"2020-10-15",23.35,23.995001,23.35,23.940001,5262800,21.982824
"2020-10-16",23.85,24.025,23.67,23.68,1776200,21.744078
"2020-10-19",23.98,23.98,23.09,23.15,1813000,21.257408
"2020-10-20",23.34,23.549999,23.200001,23.27,1563900,21.367596
"2020-10-21",23.200001,23.5,22.959999,23.43,2767600,21.514515
"2020-10-22",23.43,24.01,23.370001,23.9,1978100,21.946091
"2020-10-23",24.040001,24.17,23.85,24.110001,1559900,22.138922
"2020-10-26",23.92,23.92,23.075001,23.389999,2987300,21.477785
"2020-10-27",23.389999,23.59,22.629999,22.629999,2916300,20.779919
"2020-10-28",22.209999,22.950001,22.129999,22.540001,3365800,20.697277
"2020-10-29",22.610001,23.5,22.370001,23.25,3162000,21.349232
"2020-10-30",23.299999,23.35,22.59,22.950001,3270600,21.073755
"2020-11-02",23.1,23.690001,23.02,23.639999,2738500,21.707346
"2020-11-03",23.91,24.065001,23.700001,23.92,2654000,21.964455
"2020-11-04",23.969999,24.700001,23.83,24.48,6800200,22.478672
"2020-11-05",24.780001,24.886,24.075001,24.129999,3652000,22.157288
"2020-11-06",24.16,24.309999,23.83,23.98,1775300,22.01955
"2020-11-09",25.49,25.940001,23.780001,23.82,9458700,21.872633
"2020-11-10",23.780001,25.280001,23.75,25.280001,6510500,23.213274
"2020-11-11",25.6,25.620001,25.02,25.4,3887400,23.323463
"2020-11-12",25.32,25.32,24.6,24.9,2628300,22.864338
"2020-11-13",25.17,25.860001,25.129999,25.809999,7128100,23.69994
"2020-11-16",26.700001,26.809999,25.84,26.200001,3002200,24.05806
"2020-11-17",26.24,26.639999,25.638,26.43,5599200,24.269257
"2020-11-18",26.25,26.540001,25.785,25.809999,7794600,23.69994
"2020-11-19",25.690001,26.17,25.26,25.870001,6240200,23.755039
"2020-11-20",25.870001,26.110001,25.695,25.870001,4072200,23.755039
"2020-11-23",26.02,26.545,25.93,26.09,7212600,23.957052
"2020-11-24",26.540001,26.870001,26.035,26.110001,5144200,23.975416
"2020-11-25",26.049999,26.24,25.370001,25.5,3098100,23.415289
"2020-11-27",25.610001,25.99,25.455,25.68,1715600,23.58057
"2020-11-30",25.6,26,25.165001,25.290001,11679700,23.222454
"2020-12-01",25.459999,25.885,25.344999,25.52,4767600,23.433651
"2020-12-02",25.49,25.639999,25,25.309999,3870700,23.240818
"2020-12-03",25.26,26.295,25.200001,26.059999,3253500,23.929502
"2020-12-04",26.34,26.35,25.870001,25.91,2316800,23.791765
"2020-12-07",25.790001,26.059999,25.504999,25.700001,2902000,23.598936
"2020-12-08",25.66,25.785,25.440001,25.58,3808700,23.488745
"2020-12-09",25.709999,25.84,25.290001,25.440001,4835900,23.360193
"2020-12-10",25.370001,25.76,25.219999,25.43,4929100,23.351007
"2020-12-11",25.27,25.91,25.26,25.65,2828100,23.553024
"2020-12-14",25.76,26.1,25.299999,25.379999,4359200,23.305094
"2020-12-15",25.4,26.190001,25.254999,26.110001,4544200,23.975416
"2020-12-16",26.35,26.35,25.879999,26.049999,3057500,23.920319
"2020-12-17",26.25,26.73,25.98,26.6,4638300,24.425358
"2020-12-18",26.67,26.67,25.530001,25.790001,6027100,23.68158
"2020-12-21",25.43,25.860001,25.25,25.700001,4013500,23.598936
"2020-12-22",25.459999,25.940001,25.4,25.93,3319000,24.119843
"2020-12-23",26.120001,26.225,25.870001,25.91,3384500,24.101238
"2020-12-24",25.91,26.171,25.645,25.879999,709900,24.07333
"2020-12-28",25.969999,25.969999,25.66,25.790001,2167400,23.989616
"2020-12-29",25.889999,26.049999,25.209999,25.26,1951200,23.496614
"2020-12-30",25.24,25.709999,25.24,25.67,1566400,23.877993
"2020-12-31",25.719999,25.719999,25.285,25.5,2195700,23.719858
"2021-01-04",25.52,25.895,24.639999,24.65,3954900,22.929197
"2021-01-05",24.620001,25.190001,24.51,24.969999,4441500,23.226858
"2021-01-06",25.190001,25.48,24.76,25.030001,4628300,23.282671
"2021-01-07",25.07,25.209999,24.665001,24.9,4119500,23.161745
"2021-01-08",25.110001,25.969999,25,25.67,9307800,23.877993
"2021-01-11",25.299999,25.469999,24.940001,25.34,5691800,23.57103
"2021-01-12",25.5,25.5,25.135,25.23,6858800,23.468706
"2021-01-13",25.17,25.49,25.09,25.27,5661400,23.505917
"2021-01-14",25.440001,25.559999,25.1,25.32,5371600,23.552425
"2021-01-15",25.209999,25.32,24.875,25.16,4180900,23.403593
"2021-01-19",25.26,25.4,24.959999,25.370001,4218300,23.598936
"2021-01-20",25.629999,26.42,25.450001,26.370001,5013600,24.529125
"2021-01-21",26.51,26.559999,25.98,26.25,3005800,24.417501
"2021-01-22",26.27,26.41,26.023001,26.389999,2958300,24.547728
"2021-01-25",26.360001,26.745001,26.094999,26.25,14339600,24.417501
"2021-01-26",26.49,26.549999,25.67,26.07,5304300,24.250069
"2021-01-27",25.790001,26.059999,24.735001,24.75,8293800,23.022215
"2021-01-28",24.860001,26.1,24.834999,25.85,8330800,24.045425
"2021-01-29",25.690001,25.76,24.91,25.280001,3442000,23.515219
"2021-02-01",25.34,26.299999,25.219999,26.299999,7568000,24.46401
"2021-02-02",26.389999,26.77,26.110001,26.77,3477400,24.901201
"2021-02-03",26.65,26.93,26.4,26.639999,3079000,24.780277
"2021-02-04",26.67,26.98,26.6,26.790001,3675200,24.919807
"2021-02-05",27,27.139999,26.85,26.950001,3195200,25.068634
"2021-02-08",26.92,27,26.650999,26.73,2439300,24.863995
"2021-02-09",26.65,26.83,26.440001,26.639999,2984500,24.780277
"2021-02-10",26.879999,27.24,26.735001,26.99,7034700,25.105844
"2021-02-11",27.129999,27.309999,26.719999,27.040001,5659400,25.152351
"2021-02-12",26.84,27.52,26.780001,27.26,7260700,25.356995
"2021-02-16",27.52,27.549999,26.940001,27.18,4840300,25.282579
"2021-02-17",27.08,27.35,26.91,27.309999,5411700,25.403503
"2021-02-18",27.15,27.440001,27.065001,27.120001,3754000,25.226768
"2021-02-19",27.290001,28.16,27.290001,27.959999,6385300,26.008129
"2021-02-22",27.98,28.559999,27.535,28.41,8740200,26.426714
"2021-02-23",28.52,28.549999,27.780001,28.299999,3788900,26.324392
"2021-02-24",28.370001,28.66,28.174999,28.48,8394800,26.491827
"2021-02-25",28.52,28.75,27.68,28.200001,2324100,26.231377
"2021-02-26",28.190001,28.540001,27.82,28.5,4928100,26.510431
"2021-03-01",29.18,29.200001,28.75,28.870001,6592800,26.854603
"2021-03-02",28.790001,28.958,28.309999,28.48,6060300,26.491827
"2021-03-03",28.51,29.33,28.4,29.190001,7650000,27.152264
"2021-03-04",29.280001,29.870001,28.155001,28.65,27516800,26.649958
"2021-03-05",29.030001,29.23,27.889999,29.219999,11333800,27.180166
"2021-03-08",29.24,29.59,28.51,28.540001,4616900,26.54764
"2021-03-09",28.58,29.040001,28.26,28.74,5194100,26.733679
"2021-03-10",28.799999,29.16,28.68,28.77,4302000,26.761583
"2021-03-11",28.969999,29.5,28.43,28.559999,5469300,26.56624
"2021-03-12",28.559999,28.83,27.959999,28.52,9484200,26.529034
"2021-03-15",28.77,28.959999,28.469999,28.860001,9540600,26.845299
"2021-03-16",29,29,27.940001,28.110001,3950500,26.147657
"2021-03-17",28.120001,29.025,28.110001,28.99,4365800,26.966225
"2021-03-18",28.809999,29.049999,27.969999,27.99,3600000,26.036036
"2021-03-19",28.01,28.49,27.73,28.030001,4899700,26.073242
"2021-03-22",28.15,28.379999,28.004999,28.200001,2748200,26.231377
"2021-03-23",28.139999,28.34,27.690001,27.85,4044000,25.905807
"2021-03-24",27.67,27.885,26.93,26.93,4411400,25.350414
"2021-03-25",26.58,27.370001,26.41,27.290001,5244800,25.689299
"2021-03-26",27.51,27.700001,27.18,27.639999,2621000,26.018766
"2021-03-29",27.639999,27.92,27.450001,27.77,5718900,26.141146
"2021-03-30",27.77,28.219999,27.629999,28.209999,3374400,26.555332
"2021-03-31",28.16,28.684999,28.02,28.24,6142800,26.583574
"2021-04-01",28.67,28.85,28.309999,28.84,4860200,27.148382
"2021-04-05",29,29.030001,28.67,28.98,5229900,27.280167
"2021-04-06",29.1,29.24,28.780001,29.08,3997100,27.374304
"2021-04-07",29.129999,29.209999,28.870001,29.15,4503300,27.440199
"2021-04-08",29.26,29.41,28.92,29.120001,5005800,27.411959
"2021-04-09",29.110001,29.280001,28.66,28.690001,5753800,27.007177
"2021-04-12",28.73,28.950001,28.35,28.639999,9825800,26.960112
"2021-04-13",28.6,29.43,28.57,29.42,4832800,27.694361
"2021-04-14",29.43,29.51,28.73,28.83,4586100,27.138966
"2021-04-15",29,29.530001,28.84,29.450001,3267400,27.722603
"2021-04-16",29.530001,30.025,29.41,29.940001,8816000,28.183859
"2021-04-19",30,30.139999,29.625,29.870001,3754400,28.117966
"2021-04-20",30.01,30.200001,29.790001,30.15,4604600,28.381544
"2021-04-21",30.15,30.6,29.969999,30.530001,4146800,28.739256
"2021-04-22",30.51,30.67,30.25,30.59,4534300,28.795734
"2021-04-23",30.67,30.809999,30.41,30.799999,3301800,28.993418
"2021-04-26",30.93,31.120001,30.73,30.91,4630600,29.096964
"2021-04-27",31,31.16,30.780001,31.139999,6027400,29.313475
"2021-04-28",31.26,31.700001,31.181,31.469999,6181700,29.624117
"2021-04-29",31.700001,31.879999,31.35,31.76,5833300,29.897108
"2021-04-30",31.59,31.879999,31.32,31.700001,9397500,29.840628
"2021-05-03",31.42,32.290001,31.42,32.049999,6512600,30.170099
"2021-05-04",32.049999,32.130001,31.290001,31.690001,4247500,29.831213
"2021-05-05",31.41,31.59,30.815001,31.209999,7480400,29.379366
"2021-05-06",31.18,31.25,30.614,30.870001,3268700,29.059311
"2021-05-07",30.93,31.42,30.83,31.4,4951200,29.558226
"2021-05-10",31.6,31.725,31.280001,31.280001,4516700,29.445263
"2021-05-11",30.91,31.084999,30.42,30.66,6210400,28.861629
"2021-05-12",30.5,30.790001,29.59,29.65,3144600,27.91087
"2021-05-13",29.66,30.33,29.639999,30.08,3329500,28.315647
"2021-05-14",30.280001,31,30.08,30.870001,2100200,29.059311
"2021-05-17",30.75,31.219999,30.584999,31.190001,7297900,29.360542
"2021-05-18",31.35,31.41,30.77,30.799999,3916200,28.993418
"2021-05-19",30.440001,30.719999,30.18,30.68,3402700,28.880455
"2021-05-20",30.68,31.254999,30.59,31.200001,2020500,29.369955
"2021-05-21",31.200001,31.35,30.940001,30.99,3107100,29.172272
"2021-05-24",31.299999,31.594999,31.110001,31.389999,2725100,29.548809
"2021-05-25",31.389999,31.67,31.33,31.35,2859300,29.511158
"2021-05-26",31.25,31.66,31.190001,31.4,2838300,29.558226
"2021-05-27",31.360001,31.4,30.65,30.879999,8653400,29.068724
"2021-05-28",31.040001,31.219999,30.870001,31.129999,3380600,29.30406
"2021-06-01",31.43,31.67,31.309999,31.67,3834200,29.812387
"2021-06-02",31.84,31.860001,31.450001,31.790001,2663500,29.92535
"2021-06-03",31.719999,31.895,31.344999,31.74,3299800,29.878283
"2021-06-04",32,32,31.565001,31.790001,4511700,29.92535
"2021-06-07",32,32.474998,31.940001,32.290001,2975000,30.396021
"2021-06-08",32.23,33.330002,32.200001,33.139999,5645200,31.196161
"2021-06-09",33.290001,33.349998,32.630001,32.650002,4913900,30.734909
"2021-06-10",32.68,32.919998,32.5,32.830002,2064600,30.904348
"2021-06-11",32.75,32.830002,32.59,32.799999,4161400,30.876106
"2021-06-14",32.810001,33.02,32.68,32.82,3094900,30.894934
