"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"2020-07-01",59.200001,60.299999,56.369999,56.439999,3172200,50.577465
"2020-07-02",57.59,58.279999,56.150002,56.34,3834600,50.487854
"2020-07-06",57.5,57.799999,55.150002,56.470001,3595800,50.604355
"2020-07-07",55.5,55.529999,53.009998,53.119999,6069900,47.602314
"2020-07-08",52.790001,54.130001,52.119999,52.98,5539400,47.476868
"2020-07-09",52.790001,52.82,49.869999,50.220001,6920900,45.003555
"2020-07-10",50.220001,53.66,50.16,53.650002,5180700,48.077278
"2020-07-13",54.169998,54.540001,52.509998,53.23,4305500,47.700893
"2020-07-14",52.700001,54.509998,52.360001,54.400002,4671100,48.749367
"2020-07-15",56.240002,57.450001,55.490002,57.23,3941400,51.285404
"2020-07-16",56.650002,57.84,55.759998,56.580002,2530900,50.70293
"2020-07-17",56.98,57.919998,55.32,55.470001,3093300,49.708225
"2020-07-20",55.34,56.139999,54.259998,54.330002,2329200,48.686642
"2020-07-21",55.299999,57.939999,55.02,57.580002,4050700,51.599049
"2020-07-22",56.560001,57.939999,56.02,57.07,2741100,51.142025
"2020-07-23",56.470001,57.810001,56.389999,57.669998,3576100,51.679699
"2020-07-24",57.720001,58.75,57.459999,57.98,2978400,51.9575
"2020-07-27",57.799999,58.139999,56.810001,58.029999,2678400,52.002308
"2020-07-28",57.619999,58.540001,56.52,56.889999,3645500,50.980724
"2020-07-29",57.599998,59.759998,57.139999,59.689999,4510900,53.48988
"2020-07-30",56.43,57.369999,54.400002,56.330002,6257300,50.478893
"2020-07-31",55.540001,56.459999,55.07,56.23,5120100,50.389278
"2020-08-03",55.23,55.66,53.580002,53.91,5396500,49.167168
"2020-08-04",53.689999,53.93,51.93,53.02,5702700,48.355469
"2020-08-05",54.279999,54.380001,51.290001,51.619999,5284500,47.078632
"2020-08-06",51.360001,52.98,51.099998,51.48,3924600,46.950951
"2020-08-07",51.220001,52.869999,50.73,52.66,3310200,48.027138
"2020-08-10",53,53.77,52.389999,53.549999,5663300,48.838837
"2020-08-11",55.029999,55.73,53.450001,53.650002,4711000,48.930042
"2020-08-12",54.650002,55.150002,53.5,55.119999,3138300,50.270714
"2020-08-13",54.32,54.939999,53.099998,53.189999,3411000,48.510509
"2020-08-14",52.849998,54.52,52.650002,54.459999,3693700,49.668777
"2020-08-17",54.360001,56.18,54.169998,55.599998,4335800,50.708485
"2020-08-18",55.25,55.779999,54.619999,54.740002,2567300,49.924152
"2020-08-19",54.32,54.98,53.66,54.259998,3031100,49.486374
"2020-08-20",53.68,53.950001,51.98,52.700001,3796100,48.063614
"2020-08-21",52.560001,53.23,52.040001,52.619999,2936800,47.990658
"2020-08-24",53.07,55.18,52.779999,54.990002,3226400,50.152157
"2020-08-25",55.150002,55.810001,53.700001,54.25,3380900,49.477257
"2020-08-26",54.150002,54.66,53.259998,53.700001,4065200,48.975647
"2020-08-27",53.830002,53.950001,52.330002,53.439999,3453600,48.738514
"2020-08-28",53.639999,55.02,53.639999,54.889999,3805600,50.060951
"2020-08-31",55.110001,55.25,52.529999,52.59,4486200,47.963299
"2020-09-01",52.279999,53.400002,51.59,52.470001,3197800,47.853859
"2020-09-02",52.599998,53.380001,51.900002,52.91,3959500,48.255146
"2020-09-03",52.990002,54.48,51.66,52.330002,3624200,47.726173
"2020-09-04",52.759998,53.119999,50.66,51.220001,3700500,46.713833
"2020-09-08",50.5,51,48.68,48.73,4513400,44.442886
"2020-09-09",49.18,49.470001,47.34,47.75,4490400,43.549107
"2020-09-10",47.869999,48.060001,45.380001,45.630001,4870800,41.615616
"2020-09-11",45.59,46.779999,45.139999,46.389999,3969400,42.308758
"2020-09-14",46.66,48.080002,46.540001,47.509998,5927700,43.330215
"2020-09-15",47.700001,48.169998,46.540001,46.560001,3568400,42.463799
"2020-09-16",47.060001,50.040001,46.57,49.099998,6197100,44.780334
"2020-09-17",48.049999,49.029999,47.84,49,6633400,44.689133
"2020-09-18",48.540001,49.099998,47.779999,48.709999,8200400,44.424644
"2020-09-21",47.18,47.900002,46.299999,47.360001,6162500,43.193417
"2020-09-22",47.25,47.950001,47,47.419998,4799600,43.248138
"2020-09-23",47.439999,47.450001,44.470001,44.509998,4627500,40.594147
"2020-09-24",44.060001,45.549999,42.93,44.580002,3818100,40.657997
"2020-09-25",43.919998,44.189999,43.02,43.919998,4687200,40.056053
"2020-09-28",44.82,45.57,44.630001,44.82,3247900,40.876881
"2020-09-29",44.91,44.990002,43.110001,43.41,4385200,39.590923
"2020-09-30",43.57,44.400002,42.93,43.32,4757000,39.508846
"2020-10-01",41.619999,42,39.720001,40.279999,10606700,36.73629
"2020-10-02",39.240002,41.240002,38.869999,40.73,6992100,37.146702
"2020-10-05",41.450001,43.119999,41.25,43.07,5107900,39.280834
"2020-10-06",43.869999,44.32,42.09,42.330002,4450100,38.605942
"2020-10-07",42.5,42.860001,41.860001,42.349998,4239500,38.624172
"2020-10-08",42.639999,44.380001,42.259998,44.360001,3251400,40.457344
"2020-10-09",44.759998,44.889999,43.150002,43.639999,5617900,39.80069
"2020-10-12",43.259998,43.490002,42.220001,43.09,3733300,39.29908
"2020-10-13",42.66,42.889999,41.400002,41.43,3890900,37.785118
"2020-10-14",41.459999,42.619999,41.450001,41.709999,3692900,38.040485
"2020-10-15",40.900002,41.720001,39.779999,41.560001,5678300,37.903683
"2020-10-16",41.57,41.650002,40.16,40.220001,5518900,36.681572
"2020-10-19",40.419998,40.459999,39.150002,39.290001,5086800,35.833393
"2020-10-20",39.75,41.130001,39.689999,40.700001,4120600,37.119343
"2020-10-21",40.27,41.540001,39.75,40.540001,5592100,36.973419
"2020-10-22",40.169998,41.389999,38.419998,41.279999,6561200,37.648315
"2020-10-23",41.68,43.419998,40.990002,41.970001,6217000,38.277615
"2020-10-26",41.220001,41.299999,39.209999,39.540001,4902000,36.061394
"2020-10-27",39.119999,39.450001,38.220001,38.259998,4886800,34.894005
"2020-10-28",37.099998,37.669998,35.990002,36.189999,6338200,33.006119
