"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume","VMC.Adjusted"
"2020-07-01",116.360001,117.360001,114.330002,115.959999,1119000,113.916588
"2020-07-02",118.580002,121.279999,117.589996,120.82,1674100,118.690956
"2020-07-06",123,123.889999,122.25,123.730003,1268400,121.54969
"2020-07-07",122.290001,123.07,122.040001,122.669998,1716200,120.508347
"2020-07-08",122.279999,123.629997,118.870003,119.120003,1087100,117.020927
"2020-07-09",118.849998,119.489998,114.440002,117.099998,1243200,115.036507
"2020-07-10",117,119.440002,116.779999,118.790001,657400,116.696739
"2020-07-13",120,122.139999,118.449997,119.160004,705000,117.060211
"2020-07-14",119.25,121.139999,118.279999,120.830002,612300,118.70079
"2020-07-15",122.610001,125.349998,122.610001,123.529999,879400,121.353203
"2020-07-16",122.82,124.400002,122.529999,124.230003,577100,122.040878
"2020-07-17",125.019997,126.160004,124.050003,124.949997,518900,122.748177
"2020-07-20",124.370003,125.400002,123.290001,125.110001,571600,122.905365
"2020-07-21",125.5,128.210007,125.43,126.959999,525700,124.722763
"2020-07-22",127.790001,128.880005,126.620003,127.150002,565400,124.909416
"2020-07-23",127.099998,128.360001,126.25,127.129997,576300,124.889763
"2020-07-24",127.07,127.709999,125.629997,127.279999,926400,125.037125
"2020-07-27",126.459999,128.289993,125.830002,128.130005,836400,125.872154
"2020-07-28",127.580002,127.610001,120.269997,120.5,1748300,118.376595
"2020-07-29",121.07,122.080002,119.970001,121.080002,870300,118.946373
"2020-07-30",119.690002,121,118.589996,119.68,702400,117.571053
"2020-07-31",119.529999,119.970001,114.839996,117.419998,1499900,115.350876
"2020-08-03",118,119.139999,115.620003,117.529999,1254500,115.458931
"2020-08-04",118.089996,124.919998,118.089996,124.330002,2278100,122.139099
"2020-08-05",125.220001,128.550003,123.019997,126.540001,1445700,124.310165
"2020-08-06",125.080002,127.419998,125,126.400002,1059500,124.17263
"2020-08-07",126.389999,130.690002,125.839996,130.080002,1163600,127.787804
"2020-08-10",131.100006,132.649994,130.470001,132.059998,1028400,129.732895
"2020-08-11",133.529999,136.139999,132.699997,133.240005,760500,130.892105
"2020-08-12",133.570007,134.279999,130.740005,131.889999,908400,129.565887
"2020-08-13",130.5,131.809998,128.979996,129.639999,484400,127.355545
"2020-08-14",129.020004,130.889999,128.550003,129.740005,313500,127.453804
"2020-08-17",129.75,131.089996,129.479996,130.029999,585600,127.738655
"2020-08-18",130.320007,130.830002,128.240005,128.639999,452300,126.704468
"2020-08-19",128.539993,129.229996,126.709999,127.029999,526200,125.11869
"2020-08-20",126.010002,126.690002,125.330002,126.110001,389200,124.212532
"2020-08-21",125.629997,126.400002,124.809998,125.830002,560000,123.936745
"2020-08-24",126.519997,126.790001,124.029999,124.669998,856600,122.794205
"2020-08-25",125.25,125.620003,122.519997,124.510002,1344600,122.636604
"2020-08-26",123.300003,123.790001,121.489998,122.889999,1157300,121.040985
"2020-08-27",123.849998,125.629997,123.760002,124.059998,890400,122.193367
"2020-08-28",124.419998,124.459999,121.449997,122.889999,655800,121.040985
"2020-08-31",122.870003,122.940002,119.949997,120,915000,118.194473
"2020-09-01",119.540001,122.269997,119.279999,122.220001,957300,120.381058
"2020-09-02",122.010002,126,120.370003,125.400002,892200,123.513214
"2020-09-03",125.779999,127.199997,122.449997,123.93,765900,122.065331
"2020-09-04",124.989998,126.239998,123.459999,125,855700,123.119232
"2020-09-08",124.660004,124.660004,121.760002,122.370003,1121200,120.528809
"2020-09-09",122.029999,122.910004,119.68,121.660004,846300,119.829498
"2020-09-10",122.260002,124.760002,121.68,123.330002,593100,121.474365
"2020-09-11",123.459999,129.410004,123.010002,125.980003,995700,124.084496
"2020-09-14",126.5,130.800003,126.360001,130.339996,740300,128.378876
"2020-09-15",130.910004,134.139999,130.690002,131.419998,830100,129.442627
"2020-09-16",132.25,134.580002,129.770004,133.289993,1135100,131.28447
"2020-09-17",131.809998,134.240005,129.910004,133.75,752300,131.737595
"2020-09-18",132.869995,134.699997,131.330002,131.389999,980200,129.413086
"2020-09-21",128.179993,129.419998,124.580002,126.669998,732400,124.764099
"2020-09-22",126.809998,129.080002,126.300003,128.429993,487400,126.497627
"2020-09-23",129.589996,132.080002,126.389999,126.419998,1256900,124.517876
"2020-09-24",126.07,130.470001,125.599998,128.539993,683100,126.605957
"2020-09-25",126.800003,131.220001,126.800003,130.479996,829600,128.516769
"2020-09-28",131.740005,135.710007,131.740005,133.720001,708500,131.708038
"2020-09-29",132.850006,133.600006,131.179993,132.699997,544200,130.703384
"2020-09-30",133.360001,136.440002,133.240005,135.539993,1029100,133.500641
"2020-10-01",136,138.809998,133.830002,134.380005,975100,132.358078
"2020-10-02",132.25,138.050003,132.25,136.800003,1159200,134.741684
"2020-10-05",138,143.630005,137.979996,141.550003,1533200,139.420212
"2020-10-06",142.110001,147.149994,140.619995,141.309998,1611500,139.183838
"2020-10-07",143.809998,147.75,143.330002,146.479996,923500,144.276016
"2020-10-08",149.990005,153.880005,148.660004,153.089996,1698500,150.78656
"2020-10-09",153.130005,153.509995,149.440002,150.779999,980000,148.511337
"2020-10-12",151.270004,152.190002,148.179993,150.089996,788500,147.831726
"2020-10-13",145.25,147.139999,144.369995,145.899994,1127700,143.704773
"2020-10-14",146.889999,148.580002,146.039993,147.729996,937500,145.507248
"2020-10-15",146.080002,146.970001,143.850006,145.830002,940200,143.635818
"2020-10-16",147.179993,147.970001,145.520004,146.419998,876000,144.216949
"2020-10-19",146.729996,146.929993,144.330002,145.619995,636800,143.42897
"2020-10-20",146.919998,148.199997,144.190002,145.449997,592100,143.261551
"2020-10-21",144.559998,147.300003,144.190002,144.699997,607800,142.522827
"2020-10-22",144.130005,146.130005,143.380005,144.830002,513300,142.650864
"2020-10-23",146.309998,146.570007,143.869995,145.410004,727100,143.222137
"2020-10-26",143.279999,144.070007,140.009995,141.089996,806900,138.967148
"2020-10-27",141.440002,142.899994,140.630005,142.100006,565700,139.96196
"2020-10-28",139.080002,139.419998,136.339996,137.479996,942000,135.411469
"2020-10-29",137.75,145.940002,137.100006,143.5,1047600,141.340881
