"","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume","VTR.Adjusted"
"2020-07-01",36.580002,38.98,36.290001,38.32,3576600,35.775635
"2020-07-02",39.169998,39.439999,36.91,37.290001,3032200,34.814022
"2020-07-06",38.310001,38.380001,36.84,37.259998,2507500,34.786018
"2020-07-07",36.599998,36.599998,35.389999,35.43,2497300,33.077526
"2020-07-08",35.43,35.830002,35.029999,35.389999,2902700,33.04018
"2020-07-09",35.23,35.240002,33.82,34.330002,2795300,32.050568
"2020-07-10",34.169998,36.029999,34.029999,35.860001,3340600,33.478973
"2020-07-13",35.77,35.990002,34.709999,34.889999,2999100,32.57338
"2020-07-14",34.970001,35.900002,34.799999,35.169998,2865400,32.834789
"2020-07-15",36.360001,36.490002,34.93,35.970001,2832600,33.581673
"2020-07-16",35.59,35.93,35.09,35.240002,2235600,32.900146
"2020-07-17",35.59,36.209999,35.139999,36.150002,3353200,33.749722
"2020-07-20",36.029999,36.169998,33.950001,34.27,3370800,31.994545
"2020-07-21",34.630001,35.560001,34.380001,35.02,2359900,32.694752
"2020-07-22",34.66,37.060001,34.389999,36.330002,4684900,33.91777
"2020-07-23",36.029999,36.619999,35.509998,36.040001,2384400,33.647018
"2020-07-24",36.150002,36.419998,35.400002,35.77,1948000,33.394951
"2020-07-27",35.5,35.779999,34.189999,35.610001,3177500,33.245579
"2020-07-28",35.439999,37.73,35.27,37.369999,2705000,34.888714
"2020-07-29",37.900002,39.09,37.669998,39.07,2763500,36.475838
"2020-07-30",38.150002,39.09,37.75,38.529999,1849300,35.971687
"2020-07-31",38.59,38.720001,37.68,38.360001,5881300,35.812981
"2020-08-03",37.619999,38.040001,36.759998,37.709999,1887700,35.206142
"2020-08-04",37.82,38.57,37.57,38.169998,2243100,35.635597
"2020-08-05",38.529999,38.91,37.700001,38.360001,2378100,35.812981
"2020-08-06",38.099998,40.080002,37.98,39.509998,2469700,36.886616
"2020-08-07",39.41,41.630001,39,41.52,3290400,38.763165
"2020-08-10",41.360001,43.060001,41.360001,42.59,2912800,39.762115
"2020-08-11",43.200001,44.07,41.169998,41.52,3015000,38.763165
"2020-08-12",41.330002,41.68,40.529999,41.099998,2541200,38.371048
"2020-08-13",40.77,41.560001,39.580002,39.889999,1902500,37.241394
"2020-08-14",41.189999,41.330002,40.09,40.599998,2519100,37.904247
"2020-08-17",40.66,41.139999,40.060001,41.080002,2725000,38.352375
"2020-08-18",41.07,41.07,40.040001,40.740002,2027400,38.034954
"2020-08-19",40.610001,40.779999,40.060001,40.369999,2635700,37.689522
"2020-08-20",39.91,41.529999,39.73,41.130001,1979000,38.399055
"2020-08-21",41.330002,41.669998,40.43,41.639999,1810200,38.875191
"2020-08-24",41.580002,42.299999,40.759998,42.290001,2351600,39.482033
