"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2020-07-01",193.850006,195.350006,192.660004,193.779999,6394100,191.339554
"2020-07-02",196,197.919998,195,195.669998,6299300,193.20575
"2020-07-06",198.729996,199.179993,195.679993,197.759995,7292200,195.269424
"2020-07-07",196.809998,198.899994,193.809998,194.199997,7660100,191.754272
"2020-07-08",195.080002,195.520004,193.119995,195.070007,8368000,192.613327
"2020-07-09",195,195.490005,189.949997,192.210007,8548200,189.789337
"2020-07-10",191.649994,192.820007,189.440002,192.550003,7674200,190.125046
"2020-07-13",193.610001,195.190002,188.699997,189.020004,8564100,186.639526
"2020-07-14",189.5,193.470001,187.179993,193.330002,8003900,190.895203
"2020-07-15",195.229996,197.770004,194.5,196.550003,7681100,194.074661
"2020-07-16",195.330002,195.710007,192.520004,193.5,5064000,191.06308
"2020-07-17",194.830002,195.570007,193.119995,195.089996,6395000,192.633057
"2020-07-20",194.740005,199.479996,193.669998,198.470001,6985300,195.97049
"2020-07-21",200,200.169998,195.679993,196.479996,7218700,194.005539
"2020-07-22",196.479996,199,196.25,198.860001,6823400,196.355576
"2020-07-23",198.440002,200.949997,196.429993,197.429993,6106700,194.943573
"2020-07-24",195.669998,197.479996,194.029999,195.149994,7160300,192.692322
"2020-07-27",195.160004,197.809998,194.199997,196.910004,5604700,194.430145
"2020-07-28",197.690002,199.369995,196.710007,196.740005,6897300,194.262283
"2020-07-29",193.089996,198.889999,193.050003,198.580002,9471300,196.079086
"2020-07-30",195.199997,196.559998,192.119995,194.059998,10499400,191.616028
"2020-07-31",194.419998,194.690002,189.440002,190.399994,14180800,188.002121
"2020-08-03",191.800003,193.339996,190.210007,190.690002,11405200,188.288452
"2020-08-04",191.130005,192.940002,190.080002,192.289993,8204000,189.868317
"2020-08-05",193.559998,198.179993,193.100006,196.100006,8876800,193.630341
"2020-08-06",195.979996,198.919998,194.789993,198.770004,7480300,196.266724
"2020-08-07",197.589996,197.979996,195.300003,196.360001,5654000,193.887085
"2020-08-10",196.360001,198.309998,195.330002,196.789993,5525400,194.311646
"2020-08-11",197.820007,202.889999,196.339996,197.770004,11549600,195.279312
"2020-08-12",199,200.229996,198.240005,198.740005,5432500,196.237091
"2020-08-13",197.130005,199.940002,197.029999,197.580002,7014800,195.386627
"2020-08-14",197.009995,198.070007,195.770004,196.639999,5014400,194.457062
"2020-08-17",197.300003,200.460007,196.710007,199.429993,6256200,197.21611
"2020-08-18",199.979996,200.100006,196.820007,199.009995,6519900,196.800735
"2020-08-19",198.919998,202.839996,198.899994,200.990005,9467600,198.758789
"2020-08-20",199.899994,204.440002,199.600006,204.149994,8849200,201.883698
"2020-08-21",204.5,205.139999,203.339996,204.130005,9998300,201.863907
"2020-08-24",205.009995,206.449997,204.669998,206.410004,6159600,204.118622
"2020-08-25",207.190002,208.199997,205.539993,208.100006,5828300,205.789871
"2020-08-26",208.100006,210.800003,207.300003,210.259995,7035200,207.925873
"2020-08-27",211.210007,212.179993,209.050003,211.029999,8619600,208.687317
"2020-08-28",212,216.160004,211.220001,215.710007,7349800,213.315369
"2020-08-31",215.539993,215.960007,211.559998,211.990005,9326900,209.636673
"2020-09-01",212.210007,213.889999,211.119995,213.350006,5642900,210.981583
"2020-09-02",214.130005,217.350006,213.770004,216.479996,9863800,214.076828
"2020-09-03",214.929993,214.929993,207.089996,208.960007,11310200,206.64032
"2020-09-04",208.490005,210.5,200.149994,204.660004,13243600,202.388046
