"","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"2020-07-01",57.939999,58.5,56.599998,58,2294000,57.288139
"2020-07-02",59.060001,61.040001,58.529999,58.68,1404100,57.959793
"2020-07-06",59.98,60.5,59,60.470001,1062800,59.727829
"2020-07-07",59.400002,59.82,57.619999,57.740002,1142500,57.031334
"2020-07-08",57.740002,58.139999,56.599998,57.5,930800,56.794273
"2020-07-09",57.27,57.349998,55.59,56.599998,1477900,55.905327
"2020-07-10",56.849998,58,56.610001,57.630001,971000,56.92268
"2020-07-13",58.189999,59.439999,57.290001,58.43,1022900,57.712864
"2020-07-14",58.220001,59.490002,57.41,59.439999,1080900,58.710461
"2020-07-15",60.740002,62.23,60.740002,61.66,1056000,60.903214
"2020-07-16",61.27,62.380001,61.009998,61.459999,885200,60.705669
"2020-07-17",61.68,61.82,60.580002,60.790001,923600,60.043896
"2020-07-20",60.279999,61.040001,59.259998,59.41,828900,58.680832
"2020-07-21",59.759998,61.610001,59.759998,60.799999,873300,60.053768
"2020-07-22",60.25,61.759998,60.25,61.610001,1249400,60.853836
"2020-07-23",61.23,61.950001,60.310001,61.75,1216500,60.992115
"2020-07-24",61.669998,62.549999,61.59,61.869999,1045200,61.110645
"2020-07-27",61.84,62.84,61.540001,62.009998,1210000,61.24892
"2020-07-28",63.150002,66.959999,63,64.239998,2758700,63.451553
"2020-07-29",64.470001,65.650002,63.639999,65.279999,1038700,64.478783
"2020-07-30",63.84,64.169998,62.830002,63.09,1029400,62.315666
"2020-07-31",62.740002,62.740002,61.240002,62.189999,1141600,61.426704
"2020-08-03",62.43,62.43,61.299999,61.470001,1248900,60.715546
"2020-08-04",61.32,62.110001,61.32,61.700001,1373700,60.942726
"2020-08-05",62.279999,63.470001,62.080002,62.91,1350300,62.137878
"2020-08-06",62.849998,64.580002,62.689999,64.57,1063100,63.777512
"2020-08-07",64.389999,67.239998,64.330002,67.230003,1026500,66.404846
"2020-08-10",67.650002,70.43,67.300003,70.25,2015700,69.387787
"2020-08-11",71.360001,72.870003,70.260002,70.580002,1737800,69.713745
"2020-08-12",71.279999,71.379997,69.150002,69.93,1260200,69.071716
"2020-08-13",68.959999,69.769997,68.389999,69,884300,68.270271
"2020-08-14",68.419998,70.230003,68.18,69.519997,546800,68.784775
"2020-08-17",69.660004,69.830002,67.900002,68.440002,736400,67.716217
"2020-08-18",68.419998,68.559998,66.400002,66.580002,1217300,65.875885
"2020-08-19",66.739998,67.269997,65.93,66.040001,815800,65.341591
"2020-08-20",65.400002,65.849998,64.919998,65.32,825700,64.629196
"2020-08-21",65.010002,65.949997,64.760002,64.790001,984400,64.104805
"2020-08-24",65,66.5,64.639999,65.910004,1064600,65.212967
"2020-08-25",66.489998,67.150002,64.93,65.639999,1584700,64.945816
"2020-08-26",65.779999,67.82,65.510002,66.760002,1183100,66.053963
"2020-08-27",66.870003,67.5,66.160004,66.230003,731800,65.529579
"2020-08-28",66.43,67.389999,66.169998,67.089996,626100,66.380478
"2020-08-31",67.080002,67.150002,66.160004,66.550003,1160400,65.846199
"2020-09-01",66.550003,69.089996,66.059998,68.910004,1341100,68.181244
"2020-09-02",69.150002,69.739998,68.260002,69.260002,994000,68.527534
"2020-09-03",69.550003,70.440002,67.32,67.959999,901300,67.24128
"2020-09-04",69.129997,69.739998,67.839996,69.040001,1317900,68.309868
"2020-09-08",68.099998,68.940002,67.199997,67.639999,935500,66.924667
"2020-09-09",68.050003,68.989998,67.389999,68.389999,847400,67.666725
"2020-09-10",68.629997,68.970001,67.089996,67.279999,792900,66.568466
"2020-09-11",67.459999,68.260002,67,67.5,584100,66.786148
"2020-09-14",67.919998,68.360001,67.050003,68,1699100,67.280853
"2020-09-15",68.190002,68.629997,66.779999,66.82,766300,66.113342
"2020-09-16",67.339996,68.769997,66.529999,67.989998,1185200,67.270966
"2020-09-17",67.75,68.900002,66.650002,68.82,979000,68.092178
"2020-09-18",68.190002,69.559998,67.709999,67.82,1971800,67.102768
"2020-09-21",65.959999,66.370003,62.41,62.970001,2295900,62.304054
"2020-09-22",62.43,63.299999,61.27,62.189999,1412200,61.532299
"2020-09-23",62.389999,62.73,60.130001,60.34,1559400,59.70187
"2020-09-24",60.16,61.439999,59.279999,60.369999,868800,59.731544
"2020-09-25",59.509998,61.029999,59.509998,60.630001,749800,59.988796
"2020-09-28",61.889999,63.540001,61.810001,62.959999,843200,62.294155
"2020-09-29",62.720001,63.119999,61.799999,62.470001,559100,61.809345
"2020-09-30",62.900002,63.77,61.5,61.880001,1153000,61.225582
"2020-10-01",62.040001,62.549999,60.220001,60.73,1598300,60.087738
"2020-10-02",59.330002,63.380001,59.330002,62.720001,803800,62.056698
"2020-10-05",63.43,64.57,63.34,64.43,693700,63.748608
"2020-10-06",65,66.050003,63.630001,63.73,896200,63.056011
"2020-10-07",64.309998,65.269997,63.900002,64.620003,747700,63.936611
"2020-10-08",65.059998,65.370003,63.740002,64.839996,741600,64.154274
"2020-10-09",65.580002,65.769997,63.869999,64.510002,985100,63.827774
"2020-10-12",64.779999,64.980003,62.91,62.959999,1452000,62.294155
"2020-10-13",62.860001,64.470001,62.630001,63.98,1451300,63.303375
"2020-10-14",64.160004,65.040001,64.120003,64.260002,708900,63.580414
"2020-10-15",63.279999,63.950001,62.639999,63.509998,955200,62.838341
"2020-10-16",63.759998,64.309998,63.240002,63.330002,554300,62.660248
"2020-10-19",63.439999,63.990002,61.959999,62.099998,864900,61.443253
"2020-10-20",62.790001,64.190002,62.279999,63.16,853900,62.492046
"2020-10-21",62.98,63.799999,62.080002,62.099998,828600,61.443253
"2020-10-22",62.400002,62.630001,61.75,62.419998,1173400,61.759869
"2020-10-23",63.09,63.450001,61.970001,62.060001,694100,61.403675
"2020-10-26",61.189999,61.299999,59.09,60.27,912600,59.632607
"2020-10-27",60.009998,60.150002,58.509998,58.610001,1007200,57.990162
"2020-10-28",57,57.779999,55.830002,56.169998,2884900,55.57597
"2020-10-29",59.400002,59.599998,56.169998,58.75,3257600,58.128685
"2020-10-30",58.619999,60,58,59.299999,1784300,58.672863
"2020-11-02",60.450001,62.029999,59.900002,61.68,1769800,61.027695
"2020-11-03",62.709999,66.230003,62.290001,65.620003,1708300,64.926033
