"","WBD.Open","WBD.High","WBD.Low","WBD.Close","WBD.Volume","WBD.Adjusted"
"2020-07-01",21.23,21.799999,20.969999,21.07,4210100,21.07
"2020-07-02",21.51,21.75,20.700001,20.790001,3699200,20.790001
"2020-07-06",21.27,21.370001,20.73,21.24,5097400,21.24
"2020-07-07",21.040001,21.07,20.27,20.360001,3862500,20.360001
"2020-07-08",20.379999,20.440001,19.99,20.219999,4261900,20.219999
"2020-07-09",20.209999,20.23,19.110001,19.25,6459800,19.25
"2020-07-10",19.25,20.370001,19.209999,20.23,5275800,20.23
"2020-07-13",20.360001,20.93,19.709999,20.52,6806300,20.52
"2020-07-14",20.209999,20.950001,20.1,20.65,2873100,20.65
"2020-07-15",20.92,22.049999,20.91,21.780001,6513600,21.780001
"2020-07-16",21.57,22.120001,21.49,22.02,3763200,22.02
"2020-07-17",21.77,22.219999,21.379999,21.42,2707500,21.42
"2020-07-20",21.25,21.41,20.57,20.77,3975100,20.77
"2020-07-21",20.950001,21.440001,20.83,20.98,2812000,20.98
"2020-07-22",20.959999,21.35,20.76,21.110001,2178500,21.110001
"2020-07-23",21.139999,21.559999,21.02,21.35,2780900,21.35
"2020-07-24",21.450001,21.690001,20.860001,21.15,2344200,21.15
"2020-07-27",21.120001,21.17,20.639999,20.879999,1861400,20.879999
"2020-07-28",20.190001,21.02,20.190001,20.780001,2604200,20.780001
"2020-07-29",20.870001,21.1,20.629999,21,1756100,21
"2020-07-30",20.700001,21.24,20.549999,21.15,2603900,21.15
"2020-07-31",21.059999,21.120001,20.690001,21.1,2581900,21.1
"2020-08-03",21.18,21.450001,20.83,21.34,3774500,21.34
"2020-08-04",21.48,22.549999,21.299999,22.01,6025100,22.01
"2020-08-05",23,23,21.059999,21.120001,8065300,21.120001
"2020-08-06",21.1,21.790001,21.07,21.629999,6525200,21.629999
"2020-08-07",21.559999,21.91,20.879999,20.98,6863700,20.98
"2020-08-10",21.1,21.84,21.1,21.780001,4900600,21.780001
"2020-08-11",21.98,23.67,21.950001,22.48,7525200,22.48
"2020-08-12",22.799999,22.84,21.809999,21.82,3153400,21.82
"2020-08-13",21.68,22.120001,21.530001,21.969999,2462400,21.969999
"2020-08-14",21.93,22.73,21.85,22.620001,2470100,22.620001
"2020-08-17",22.469999,22.540001,21.700001,22.09,2614800,22.09
"2020-08-18",22.139999,22.290001,21.940001,22.059999,2199000,22.059999
"2020-08-19",22.360001,22.51,22.059999,22.219999,1967400,22.219999
"2020-08-20",22.02,22.379999,21.889999,22.129999,2768000,22.129999
"2020-08-21",22,22.16,21.77,21.99,2042700,21.99
"2020-08-24",21.940001,22.879999,21.889999,22.809999,3604400,22.809999
"2020-08-25",22.93,23.01,22.379999,22.860001,3359600,22.860001
"2020-08-26",22.889999,23.049999,22.57,22.77,2597200,22.77
"2020-08-27",22.77,23.120001,22.65,22.860001,3296500,22.860001
"2020-08-28",22.879999,22.98,22.690001,22.879999,3012800,22.879999
"2020-08-31",22.799999,22.950001,21.99,22.07,4060200,22.07
