"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume","WDC.Adjusted"
"2020-07-01",44.009998,44.130001,42.049999,42.450001,6047600,42.450001
"2020-07-02",43.02,43.389999,42.189999,42.439999,3900200,42.439999
"2020-07-06",43.27,43.75,42.549999,42.950001,4343900,42.950001
"2020-07-07",42.400002,42.84,41.5,41.720001,4684600,41.720001
"2020-07-08",41.93,42.799999,41.59,42.799999,3724700,42.799999
"2020-07-09",42.82,43,41.41,42.32,3716200,42.32
"2020-07-10",42.119999,42.490002,41.459999,42.310001,3259800,42.310001
"2020-07-13",42.700001,43.130001,41.830002,41.849998,4530300,41.849998
"2020-07-14",41.380001,42.18,40.57,42.049999,3878500,42.049999
"2020-07-15",42.990002,44.18,42.68,44.07,4840700,44.07
"2020-07-16",43.5,44.259998,43.189999,43.799999,3271000,43.799999
"2020-07-17",44.150002,44.150002,43.040001,43.41,2285100,43.41
"2020-07-20",43.099998,43.869999,42.77,43.580002,3092700,43.580002
"2020-07-21",43.959999,44.959999,43.810001,44.169998,4117600,44.169998
"2020-07-22",44.099998,44.240002,43.48,43.959999,3254900,43.959999
"2020-07-23",43.939999,47.389999,43.919998,46.16,11060800,46.16
"2020-07-24",45.360001,45.450001,42.709999,42.849998,8032800,42.849998
"2020-07-27",43.240002,43.759998,42.549999,43.73,3958200,43.73
"2020-07-28",43.400002,43.830002,42.77,42.849998,3131000,42.849998
"2020-07-29",42.09,42.950001,41.84,42.419998,5388700,42.419998
"2020-07-30",41.889999,42.810001,41.389999,42.759998,3518300,42.759998
"2020-07-31",42.91,43.139999,42.029999,43.099998,3884300,43.099998
"2020-08-03",43.150002,43.990002,42.41,43.900002,4064100,43.900002
"2020-08-04",43.43,44.779999,43.369999,44.759998,3705400,44.759998
"2020-08-05",45.02,45.360001,44.060001,44.470001,6498000,44.470001
"2020-08-06",39.099998,39.209999,36.900002,37.299999,33840400,37.299999
"2020-08-07",37.389999,37.900002,36.5,36.990002,10250000,36.990002
"2020-08-10",37.200001,37.779999,36.720001,37.360001,7860900,37.360001
"2020-08-11",37.509998,38.130001,36.880001,36.98,6146700,36.98
"2020-08-12",37.310001,37.32,36.509998,36.77,6277900,36.77
"2020-08-13",36.400002,36.59,35.630001,35.740002,8348400,35.740002
"2020-08-14",35.700001,36.07,35.419998,35.740002,4911400,35.740002
"2020-08-17",35.91,36.049999,35.459999,35.599998,3314900,35.599998
"2020-08-18",35.66,35.66,34.57,34.709999,6237600,34.709999
"2020-08-19",34.900002,35.27,34.34,34.450001,5148400,34.450001
