"","WEC.Open","WEC.High","WEC.Low","WEC.Close","WEC.Volume","WEC.Adjusted"
"2020-07-01",87.580002,89.620003,87.480003,89.330002,1285000,84.312111
"2020-07-02",89.82,90.860001,89.669998,90.169998,979900,85.104927
"2020-07-06",90.870003,91.620003,89.019997,89.940002,1000200,84.887848
"2020-07-07",88.940002,89.629997,88.269997,88.699997,1359700,83.717491
"2020-07-08",88.5,89.169998,88.160004,88.739998,1230600,83.755257
"2020-07-09",88.300003,88.559998,86.110001,87.470001,1396000,82.556602
"2020-07-10",87.690002,88.470001,87.370003,88.050003,1341800,83.104027
"2020-07-13",88.029999,88.82,87.400002,87.720001,1678100,82.792549
"2020-07-14",87.919998,88.610001,87.059998,88.099998,2166800,83.151207
"2020-07-15",88.779999,89.239998,87.160004,87.459999,1353400,82.54715
"2020-07-16",87.690002,88.379997,87.089996,87.760002,1343000,82.830315
"2020-07-17",88.209999,91.010002,88.089996,90.529999,1777700,85.444695
"2020-07-20",90.099998,91.089996,89.669998,90.139999,1382400,85.076607
"2020-07-21",90.379997,91.730003,90.099998,91.139999,1515400,86.020439
"2020-07-22",90.940002,93.790001,90.5,93.459999,1173300,88.210121
"2020-07-23",93.279999,94.379997,93.18,93.790001,1321500,88.521584
"2020-07-24",94.07,94.900002,93.099998,93.589996,1232800,88.332802
"2020-07-27",93.459999,93.620003,92.559998,93.339996,1389200,88.096863
"2020-07-28",92.870003,95.190002,92.779999,94.580002,1330800,89.267204
"2020-07-29",95.199997,95.410004,94.260002,94.970001,991500,89.635307
"2020-07-30",94.519997,95.559998,94.230003,95.190002,922500,89.842941
"2020-07-31",94.790001,95.75,93.959999,95.260002,1042500,89.909012
"2020-08-03",95.050003,95.5,92.639999,93.639999,991300,88.380005
"2020-08-04",93.480003,96.129997,92.07,95.110001,1673500,89.767448
"2020-08-05",95.25,95.25,92.610001,93.309998,1289800,88.06855
"2020-08-06",93.07,93.75,92.449997,92.989998,758300,87.766525
"2020-08-07",92.540001,94.989998,92.540001,94.370003,1015600,89.069008
"2020-08-10",94.589996,94.589996,93.309998,93.730003,865200,88.464951
"2020-08-11",93.629997,93.82,90.690002,90.900002,955000,85.79393
"2020-08-12",91.370003,93.309998,91.050003,92.269997,886000,87.08696
"2020-08-13",91.290001,91.779999,90.75,91.440002,851300,86.899742
"2020-08-14",91.459999,92.110001,90.639999,91.209999,720500,86.681175
"2020-08-17",91.139999,92.75,90.839996,92.120003,1093600,87.545982
"2020-08-18",92.010002,92.620003,91.519997,91.919998,784600,87.355911
"2020-08-19",92.139999,92.32,91.459999,91.720001,642500,87.165855
"2020-08-20",91.279999,91.900002,90.720001,91.290001,675100,86.757195
"2020-08-21",91.489998,92.07,90.660004,91.989998,1350600,87.422447
"2020-08-24",91.989998,92.309998,90.870003,92.239998,1008900,87.660027
"2020-08-25",92.43,92.639999,91.669998,92.279999,1230400,87.698036
"2020-08-26",91.739998,92.800003,91.269997,92.040001,1838800,87.469955
"2020-08-27",92.43,92.980003,91.57,92.349998,1123800,87.764565
"2020-08-28",92.379997,93.730003,91.610001,93.620003,1111900,88.971497
"2020-08-31",93.339996,94.419998,93.339996,94.080002,1404800,89.408669
"2020-09-01",93.699997,93.75,92.699997,93.589996,1165400,88.942986
"2020-09-02",93.720001,97.769997,93.419998,97.410004,1690400,92.573318
"2020-09-03",97.709999,98.260002,95.5,96.360001,1538000,91.575447
"2020-09-04",96.949997,97.889999,95.690002,96.489998,1349800,91.698997
"2020-09-08",96.610001,96.709999,94.639999,95.589996,1462400,90.843689
"2020-09-09",96.300003,99.040001,95.970001,97.769997,1169700,92.915443
"2020-09-10",97.25,97.669998,95.860001,95.970001,1234700,91.204826
"2020-09-11",96.110001,96.300003,94.93,95.959999,1003800,91.19532
"2020-09-14",96.550003,97.769997,95.830002,97.18,755000,92.354736
"2020-09-15",97.790001,99.279999,97.75,99.150002,1094700,94.226929
"2020-09-16",99.169998,100.43,98.089996,98.779999,1656500,93.875298
"2020-09-17",98.120003,98.389999,95.589996,96.110001,1431200,91.337868
"2020-09-18",95.720001,96.489998,94.110001,94.870003,2209300,90.159447
"2020-09-21",94.190002,95.599998,93.480003,94.860001,1261200,90.149933
"2020-09-22",94.589996,96.239998,94.260002,95.400002,1284300,90.663116
"2020-09-23",95.220001,95.279999,92.919998,93.059998,1300200,88.439308
"2020-09-24",93.059998,94.629997,92.760002,94,798900,89.332634
"2020-09-25",93.510002,96.400002,93.300003,96.309998,990600,91.527939
"2020-09-28",96.360001,97.459999,95.720001,96.480003,793200,91.689507
"2020-09-29",96.989998,97.540001,96.139999,96.660004,879200,91.860558
"2020-09-30",97,97.610001,96.379997,96.900002,1345900,92.088646
