"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2020-07-01",131.919998,132.979996,126.879997,127.040001,777900,120.007141
"2020-07-02",129.279999,132.130005,127.07,129.179993,556200,122.028656
"2020-07-06",132.070007,134.460007,131.759995,133.470001,613500,126.081192
"2020-07-07",131.770004,134.139999,130.899994,133.660004,909200,126.260674
"2020-07-08",133.429993,136.029999,131.839996,136,783100,128.471146
"2020-07-09",136.110001,136.110001,131.419998,133.169998,647600,125.797783
"2020-07-10",134.080002,136.169998,133.899994,135.639999,632600,128.131042
"2020-07-13",137.899994,140.589996,136.460007,136.460007,836400,128.90567
"2020-07-14",135.619995,139.070007,134.220001,138.979996,768700,131.286133
"2020-07-15",142.440002,143.880005,140.550003,143.139999,754900,135.215851
"2020-07-16",143,146.990005,142.25,144.309998,816900,136.321075
"2020-07-17",144.990005,145.880005,142.279999,142.559998,594700,134.667984
"2020-07-20",141.580002,143.889999,141.210007,143.059998,546300,135.140289
"2020-07-21",143.759995,144.770004,142.929993,143.759995,516300,135.801544
"2020-07-22",144.179993,149.300003,143.270004,146.889999,1092000,138.75827
"2020-07-23",154.169998,163,153.929993,158.630005,2997400,149.848343
"2020-07-24",160.089996,161.389999,157.029999,157.949997,1128200,149.205978
"2020-07-27",158,166.059998,155.630005,165.720001,1214300,156.545853
"2020-07-28",164.279999,165.279999,162.309998,162.639999,915500,153.636353
"2020-07-29",162.860001,164.410004,161.820007,162.570007,771700,153.570236
"2020-07-30",160.119995,163.639999,159.75,163.009995,489500,153.985855
"2020-07-31",162.869995,163.229996,161.029999,163.119995,611800,154.089783
"2020-08-03",163.800003,165.960007,162.289993,164.610001,513300,155.497284
"2020-08-04",163.380005,167.940002,163.25,167.490005,608000,158.21788
"2020-08-05",168.160004,174.619995,167.539993,173.75,1376900,164.131287
"2020-08-06",173.059998,173.059998,170.289993,171.880005,773500,162.364853
"2020-08-07",171.470001,173.289993,170.009995,173.199997,420500,163.611755
"2020-08-10",172.940002,178.410004,172.600006,176.970001,645100,167.173065
"2020-08-11",178.419998,180.990005,176.020004,176.330002,644000,166.568481
"2020-08-12",178.720001,179,175.860001,178.580002,424000,168.693939
"2020-08-13",177.389999,180.199997,176.5,178.460007,281900,168.580566
"2020-08-14",179.119995,183.029999,178.440002,180.929993,550600,170.913834
"2020-08-17",180.869995,182.160004,179.580002,181.940002,480100,171.867905
"2020-08-18",182.179993,183.889999,180.300003,182,441000,171.924576
"2020-08-19",181.639999,185.960007,181.470001,184.369995,521700,174.163376
"2020-08-20",182.270004,184.979996,181.169998,182.919998,396500,172.793655
"2020-08-21",181.490005,182.809998,180.020004,180.779999,890100,170.77211
"2020-08-24",182.220001,182.580002,179.899994,181.380005,593800,171.338928
"2020-08-25",182.710007,182.710007,178.809998,180.529999,547900,170.53595
"2020-08-26",181.320007,181.320007,178.440002,179.940002,388100,169.978622
"2020-08-27",179.559998,180.539993,177.789993,177.830002,516700,169.113235
"2020-08-28",178.440002,179.669998,177.960007,178.880005,375100,170.111771
"2020-08-31",178.919998,179.199997,176.479996,177.720001,529100,169.008621
"2020-09-01",177.350006,179.610001,176.729996,178.270004,490200,169.531662
"2020-09-02",179.179993,180.199997,178.059998,179.460007,660300,170.66333
"2020-09-03",180.110001,180.199997,169.490005,171.559998,665400,163.150574
"2020-09-04",174,174.350006,166.600006,168,718300,159.76506
"2020-09-08",164.639999,172.559998,164.059998,168.320007,695800,160.069397
"2020-09-09",169.75,173.320007,169.440002,171.820007,394600,163.397842
"2020-09-10",173.139999,175.270004,169.149994,169.460007,671700,161.153519
"2020-09-11",170.639999,174.5,170.270004,172.800003,573500,164.329803
"2020-09-14",175.110001,178.149994,174.199997,177.800003,605600,169.084717
"2020-09-15",178.279999,180.380005,177.660004,178.369995,499100,169.626755
"2020-09-16",179.979996,182.529999,178.899994,179.570007,633500,170.767944
"2020-09-17",177.089996,180.710007,175.800003,176.740005,628200,168.076691
"2020-09-18",176.25,177.75,173.399994,174.270004,1063000,165.727753
"2020-09-21",170.699997,177.75,169.990005,177.75,1182200,169.03717
"2020-09-22",177.830002,180.449997,176.320007,179.690002,789400,170.88205
"2020-09-23",179.740005,181.929993,175.550003,175.740005,612700,167.125687
"2020-09-24",175.259995,178.779999,173.630005,175.460007,777900,166.859406
"2020-09-25",175.460007,178.949997,174.020004,178.110001,499900,169.379517
"2020-09-28",180.910004,185.309998,179.550003,185,707000,175.931778
"2020-09-29",184.089996,184.779999,180.679993,180.75,455100,171.890091
"2020-09-30",183.899994,186.850006,181.800003,183.889999,881600,174.87619
"2020-10-01",185.160004,185.539993,181.470001,183.190002,729100,174.21051
"2020-10-02",179.600006,185.460007,179.320007,184.210007,444500,175.180527
"2020-10-05",186,193.850006,185.179993,192.990005,1104100,183.530136
"2020-10-06",193.720001,195.070007,189.720001,190.619995,908600,181.276291
"2020-10-07",193.330002,197.470001,193.029999,196.149994,666200,186.535217
"2020-10-08",197.089996,200.410004,196.919998,200.190002,827300,190.377182
"2020-10-09",201.839996,205.199997,200.580002,201.399994,843000,191.527893
"2020-10-12",202.729996,203.240005,199.699997,200.910004,666700,191.06192
"2020-10-13",200.910004,203.160004,199.869995,201.369995,808300,191.499359
"2020-10-14",202.089996,204.580002,201.570007,203.429993,516900,193.458374
"2020-10-15",200.25,204.350006,200,202,687100,192.098495
"2020-10-16",204.100006,206.110001,201.389999,201.570007,737600,191.689575
"2020-10-19",201.199997,204.300003,198.539993,198.880005,606600,189.131409
"2020-10-20",201.899994,203.490005,197.710007,199.929993,682900,190.129944
"2020-10-21",201.350006,202.139999,194.100006,196.830002,1061800,187.1819
"2020-10-22",203.759995,207.300003,191.869995,193.800003,2620700,184.30043
"2020-10-23",196.910004,198.570007,195.009995,198.110001,785400,188.39917
"2020-10-26",195.5,196.479996,192.039993,194.059998,653700,184.547684
"2020-10-27",194.339996,197.059998,192.110001,195.820007,649500,186.22142
"2020-10-28",190.220001,194.509995,188.020004,188.440002,666500,179.203186
"2020-10-29",188.130005,189.949997,184.75,186.380005,572200,177.244125
"2020-10-30",186.399994,189.009995,180.399994,184.960007,827200,175.893753
"2020-11-02",185.789993,193.089996,185.509995,192.729996,587200,183.282883
"2020-11-03",195.300003,199.110001,193.460007,197.770004,600800,188.075836
"2020-11-04",197.339996,197.339996,193,194.399994,579000,184.871002
"2020-11-05",197.110001,201.419998,197.110001,198.759995,794400,189.017303
"2020-11-06",199.220001,202.899994,197.789993,201.639999,464100,191.756119
"2020-11-09",205,206.570007,180.520004,180.690002,1137700,171.833054
"2020-11-10",181.509995,185,180.169998,183.050003,758700,174.077377
"2020-11-11",184.479996,185.25,182.270004,185.130005,617000,176.055405
"2020-11-12",185.399994,186.5,181.520004,183.940002,630400,174.923721
"2020-11-13",186,190.179993,185.490005,188.729996,432400,179.478943
"2020-11-16",189.860001,191.029999,185.199997,188.600006,832400,179.355316
"2020-11-17",189.289993,192,187.160004,191.070007,572600,181.704254
"2020-11-18",191.860001,197.369995,191.580002,194.169998,645900,184.652283
"2020-11-19",192.080002,194.440002,189.25,192.559998,466000,184.307724
"2020-11-20",192.880005,194.479996,191.110001,192.910004,536800,184.642715
"2020-11-23",194.289993,199.779999,192.639999,198.679993,609400,190.165436
