"","WMB.Open","WMB.High","WMB.Low","WMB.Close","WMB.Volume","WMB.Adjusted"
"2020-07-01",18.969999,19.24,18.719999,18.809999,7828200,16.598551
"2020-07-02",19.049999,19.389999,18.92,19.08,5848300,16.836809
"2020-07-06",19.639999,20,19.09,19.309999,10831000,17.039766
"2020-07-07",18.959999,19.33,18.84,18.91,6266300,16.686796
"2020-07-08",18.940001,19.24,18.780001,18.940001,6807900,16.713268
"2020-07-09",18.84,18.889999,18.25,18.27,9883000,16.12204
"2020-07-10",18.24,18.57,18.09,18.549999,7559300,16.369118
"2020-07-13",18.610001,18.92,18.450001,18.559999,6721600,16.377943
"2020-07-14",18.440001,19.15,18.34,19.1,8186200,16.854456
"2020-07-15",19.540001,20.139999,19.370001,20.08,9250700,17.71924
"2020-07-16",20.030001,20.129999,19.610001,19.9,9979600,17.560402
"2020-07-17",19.98,20.280001,19.66,19.77,5599600,17.445686
"2020-07-20",19.67,19.799999,19.23,19.290001,6013800,17.022121
"2020-07-21",19.51,20.120001,19.51,20.110001,7278500,17.745714
"2020-07-22",19.790001,19.83,19.200001,19.450001,6712100,17.163311
"2020-07-23",19.360001,19.5,19.040001,19.32,6739200,17.048592
"2020-07-24",19.4,19.559999,19.17,19.209999,5652700,16.951521
"2020-07-27",19.120001,19.139999,18.610001,18.83,8464100,16.616201
"2020-07-28",18.74,19.040001,18.67,18.870001,6791500,16.651499
"2020-07-29",18.85,19.85,18.85,19.77,9819700,17.445686
"2020-07-30",19.370001,19.440001,19.09,19.34,6398400,17.06624
"2020-07-31",19.290001,19.34,18.719999,19.129999,17654800,16.88093
"2020-08-03",19.200001,20,19,19.719999,7576400,17.401566
"2020-08-04",19.83,21.440001,19.809999,21.34,15004600,18.831104
"2020-08-05",21.719999,21.83,21.17,21.290001,8890300,18.786983
"2020-08-06",21.219999,21.280001,20.709999,20.82,10072900,18.37224
"2020-08-07",20.57,20.860001,20.459999,20.85,7113000,18.398714
"2020-08-10",20.809999,21.67,20.809999,21.540001,6601100,19.007593
"2020-08-11",21.77,21.860001,21.370001,21.42,9427800,18.901701
"2020-08-12",21.690001,21.860001,21.469999,21.610001,6549300,19.069361
"2020-08-13",21.52,21.790001,21.370001,21.57,4896200,19.034061
"2020-08-14",21.49,22.33,21.41,22.129999,6429500,19.528225
"2020-08-17",22.129999,22.43,21.92,22.34,6200800,19.713539
"2020-08-18",22.26,22.309999,21.73,21.799999,5900300,19.237022
"2020-08-19",21.85,22.09,21.620001,21.65,4776500,19.104662
"2020-08-20",21.41,21.58,21.190001,21.4,5617900,18.88405
"2020-08-21",21.41,21.459999,21.120001,21.41,4976900,18.892876
"2020-08-24",21.51,21.690001,21.18,21.68,7129900,19.13113
"2020-08-25",21.85,21.85,21.110001,21.389999,6430300,18.875227
"2020-08-26",21.35,21.389999,20.889999,21.049999,6302800,18.575199
"2020-08-27",21.01,21.290001,20.74,20.959999,8596000,18.495781
"2020-08-28",21.040001,21.27,20.799999,21.07,5386200,18.592848
"2020-08-31",21.16,21.209999,20.74,20.76,7016800,18.319296
"2020-09-01",20.6,21.049999,20.440001,20.959999,6669800,18.495781
