"","WMT.Open","WMT.High","WMT.Low","WMT.Close","WMT.Volume","WMT.Adjusted"
"2020-07-01",119.449997,119.919998,118.660004,119.690002,6577900,116.034531
"2020-07-02",120.089996,120.879997,118.860001,119.209999,5898600,115.569191
"2020-07-06",119.800003,119.870003,118.220001,118.889999,7231700,115.258957
"2020-07-07",118.449997,127.550003,118.220001,126.949997,31152700,123.072784
"2020-07-08",128,128.130005,124.400002,124.440002,17405700,120.639442
"2020-07-09",125.610001,128.179993,124.949997,127.75,14257200,123.848358
"2020-07-10",128.740005,131.369995,127.260002,130.679993,14745600,126.688866
"2020-07-13",131.330002,133.630005,128.889999,129.520004,14112800,125.564316
"2020-07-14",129.279999,132.5,129.029999,132.009995,8818600,127.978241
"2020-07-15",132.270004,134.130005,130.800003,132,10577100,127.968559
"2020-07-16",132.050003,132.729996,131.240005,132.199997,5892200,128.16243
"2020-07-17",133.369995,133.369995,131.470001,131.740005,6063200,127.716515
"2020-07-20",131.960007,132.740005,131.139999,131.470001,6114200,127.454758
"2020-07-21",131.559998,133.990005,131.449997,132.330002,7237500,128.288483
"2020-07-22",132.570007,133.029999,131.190002,132.660004,5388200,128.608414
"2020-07-23",133,133.149994,131.309998,131.639999,5598800,127.619553
"2020-07-24",130.949997,132.399994,130.509995,131.240005,4345800,127.231781
"2020-07-27",130.860001,131.979996,130.860001,131.210007,4681900,127.202698
"2020-07-28",131.5,132.380005,130.919998,131.759995,4804700,127.735886
"2020-07-29",131.559998,131.860001,129.850006,130.690002,4741100,126.698563
"2020-07-30",129.419998,130.419998,128.720001,130.119995,4596100,126.145966
"2020-07-31",129.649994,130.089996,127.620003,129.399994,7210500,125.44796
"2020-08-03",129.910004,130.119995,128.270004,129.300003,4990500,125.351013
"2020-08-04",129.649994,131.710007,128.940002,131.639999,6073200,127.619553
"2020-08-05",130.449997,130.75,128.830002,129.809998,8494500,125.845428
"2020-08-06",129.130005,130.229996,129.029999,129.350006,4832100,125.399498
"2020-08-07",129.580002,130.460007,129.110001,129.970001,5519500,126.000557
"2020-08-10",130.240005,132.339996,129.649994,131.880005,5894400,127.852226
"2020-08-11",132.589996,132.869995,129.729996,130.199997,8453400,126.223541
"2020-08-12",130.470001,132.229996,129.080002,131.889999,6364800,127.861931
"2020-08-13",131.210007,131.960007,130.729996,131.850006,6622400,128.348633
"2020-08-14",132.339996,132.970001,131.630005,132.600006,6702100,129.07872
"2020-08-17",134.350006,136.130005,133.850006,135.600006,13155000,131.999084
"2020-08-18",136.169998,137.630005,133.169998,134.710007,26744200,131.13269
"2020-08-19",134.210007,134.660004,131.850006,132.410004,12718400,128.893768
"2020-08-20",131.210007,132.070007,130.050003,130.570007,8936900,127.102646
"2020-08-21",130.550003,132.669998,130.100006,131.630005,8288000,128.134476
"2020-08-24",132.25,132.479996,130.330002,131.330002,6604600,127.842453
"2020-08-25",130.800003,131.240005,129.669998,130.630005,7240800,127.161041
"2020-08-26",130.210007,130.880005,129.699997,130.699997,6271600,127.229172
"2020-08-27",131.080002,139.350006,130.899994,136.630005,39672900,133.001709
"2020-08-28",141,141.070007,137.839996,140.300003,21350300,136.574249
"2020-08-31",137.479996,138.889999,135.529999,138.850006,15078800,135.162766
"2020-09-01",141.199997,149.589996,140.050003,147.589996,35599400,143.670639
"2020-09-02",151.25,151.330002,145.610001,147.679993,17222000,143.75824
"2020-09-03",146.699997,149.600006,141.809998,144.539993,16005000,140.70163
"2020-09-04",144.020004,145.039993,140.100006,142.830002,11327400,139.037064
"2020-09-08",141.410004,141.899994,138.259995,138.449997,11322300,134.773376
"2020-09-09",140.089996,142.610001,139.449997,139.889999,11223000,136.175125
"2020-09-10",140.059998,140.539993,136.589996,136.809998,11236400,133.176895
"2020-09-11",137.050003,138.440002,135.550003,136.699997,9626600,133.069824
"2020-09-14",136.139999,141.100006,135.880005,137.320007,15244600,133.673386
"2020-09-15",138.229996,139.080002,136.679993,137.360001,10142600,133.712326
"2020-09-16",138.410004,138.679993,136.050003,136.259995,9286800,132.64151
"2020-09-17",135.429993,137.570007,135.020004,136.690002,12415000,133.060135
"2020-09-18",136.440002,137.529999,134.75,135.289993,18236400,131.697281
"2020-09-21",136.5,137.240005,135.289993,137.070007,15758500,133.430038
"2020-09-22",137.070007,138.990005,136.570007,138.309998,11034000,134.637085
"2020-09-23",139,139.240005,135.820007,135.990005,7711100,132.378693
"2020-09-24",135.729996,137.789993,135.070007,136.699997,9817700,133.069824
"2020-09-25",136.520004,137.539993,135.960007,137.270004,7539600,133.62471
"2020-09-28",137.160004,138.050003,136.720001,137.25,7065700,133.605209
"2020-09-29",137.25,138.139999,136.389999,137.139999,9234300,133.498138
"2020-09-30",137.389999,141.740005,137.199997,139.910004,11608800,136.194626
"2020-10-01",140.800003,144.380005,140.259995,143.080002,14430300,139.280426
"2020-10-02",142.339996,143.100006,140.130005,140.5,8195000,136.768921
"2020-10-05",141.289993,142.190002,141.070007,141.800003,4753000,138.034424
"2020-10-06",141.869995,142.940002,140.25,140.630005,7158500,136.895493
"2020-10-07",141.259995,141.550003,140.25,140.889999,5649700,137.148575
"2020-10-08",141.509995,142.089996,141.119995,141.360001,4892300,137.606094
"2020-10-09",141.660004,143.339996,141.559998,142.779999,4831600,138.988373
"2020-10-12",143.020004,145.389999,143.020004,144.25,6134100,140.419342
"2020-10-13",144.679993,146.600006,144.360001,146.229996,7933400,142.346771
"2020-10-14",146.399994,146.529999,143.759995,143.940002,6570300,140.117584
"2020-10-15",143.089996,144.960007,142.839996,144.529999,4564200,140.691925
"2020-10-16",145.399994,146.149994,144.470001,144.710007,5645000,140.867157
"2020-10-19",145.100006,145.369995,142.75,142.949997,4881100,139.153885
"2020-10-20",144.110001,145.529999,143.619995,143.899994,4841000,140.078629
"2020-10-21",143.839996,145.729996,143.839996,144.399994,4371400,140.565369
"2020-10-22",144.190002,144.559998,142.690002,143.550003,4448000,139.737946
"2020-10-23",143.970001,144.139999,142.850006,143.850006,3513500,140.029984
"2020-10-26",142.839996,143.119995,140.940002,142.160004,5370600,138.384857
"2020-10-27",142.050003,143.699997,141.970001,142.869995,3943700,139.075989
"2020-10-28",140.960007,142.130005,139.880005,140.039993,5616400,136.321136
"2020-10-29",140,141.110001,138.699997,139.919998,5051300,136.20433
"2020-10-30",139.179993,140.089996,137.369995,138.75,6200600,135.065414
"2020-11-02",140.589996,140.809998,139.029999,140.399994,5525200,136.6716
"2020-11-03",141.649994,144.160004,141.570007,142.779999,5137700,138.988373
"2020-11-04",141.570007,144.389999,141.339996,141.960007,5975800,138.19017
"2020-11-05",144,144.229996,142.940002,143.470001,4734200,139.66008
"2020-11-06",144.360001,146.220001,143.550003,145.770004,5399500,141.898972
"2020-11-09",148,148.199997,143.479996,143.539993,9399500,139.72821
"2020-11-10",143.75,146.440002,143.529999,145.559998,6066400,141.694565
"2020-11-11",146.919998,148.960007,146.399994,147.979996,6268600,144.050293
