"","WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.Adjusted"
"2020-07-01",105.910004,106.370003,104.720001,105.089996,1255000,101.591194
"2020-07-02",105.669998,106.160004,104.75,104.970001,1438600,101.475197
"2020-07-06",105.790001,106.089996,104.419998,105.209999,1868200,101.707199
"2020-07-07",104.720001,105.260002,104.32,104.620003,1585000,101.136848
"2020-07-08",104.050003,104.510002,102.480003,103.120003,1728400,99.68679
"2020-07-09",102.879997,103,100.949997,102.080002,2029500,98.681412
"2020-07-10",102.019997,103.860001,102.019997,103.82,1189200,100.363472
"2020-07-13",104.330002,105.449997,103.720001,104.330002,2439500,100.856491
"2020-07-14",104.5,106.230003,104.459999,106.199997,1811800,102.66423
"2020-07-15",106.919998,107.389999,106.269997,106.790001,2015600,103.234596
"2020-07-16",106.589996,108.150002,106.519997,107.459999,1637200,103.882294
"2020-07-17",107.919998,109.389999,107.389999,108.699997,3224700,105.081001
"2020-07-20",108.260002,108.389999,106.290001,106.57,1407600,103.021904
"2020-07-21",106.93,108.339996,106.769997,107.519997,1266700,103.940292
"2020-07-22",107.040001,108.480003,106.589996,108.209999,1239700,104.607315
"2020-07-23",108.389999,109.059998,107.5,108.029999,1497200,104.433304
"2020-07-24",108.68,108.959999,107.050003,107.279999,1224000,103.708282
"2020-07-27",107.5,107.57,106.589996,107.07,1214000,103.50528
"2020-07-28",106.769997,108.019997,106.769997,107.519997,1402000,103.940292
"2020-07-29",108.160004,110.129997,107.910004,109.650002,1466100,105.999367
"2020-07-30",108.540001,109.660004,107.300003,109.379997,1873100,105.738358
"2020-07-31",108.809998,109.620003,108.260002,109.599998,1467500,105.95105
"2020-08-03",109.959999,109.959999,108.650002,108.980003,1486100,105.351685
"2020-08-04",108.389999,108.970001,108.010002,108.82,1276100,105.197014
"2020-08-05",109.279999,109.93,108.709999,109.18,1522000,105.545013
"2020-08-06",109.160004,110.410004,109.160004,110.370003,1437100,106.695404
"2020-08-07",110.089996,113.230003,110.089996,112.720001,1867400,108.967178
"2020-08-10",112.290001,112.699997,110.970001,111.610001,1770900,107.894119
"2020-08-11",112.099998,112.389999,110.860001,111.589996,1563300,107.874786
"2020-08-12",112.029999,112.730003,111.589996,112.25,1506400,108.512817
"2020-08-13",111.349998,111.720001,110.519997,111.339996,891200,107.633125
"2020-08-14",111.18,112.050003,110.650002,111.470001,1057600,107.758789
"2020-08-17",111.480003,112.169998,110.559998,110.870003,1468200,107.178764
"2020-08-18",110.910004,111.57,110.629997,111.010002,1193400,107.314102
"2020-08-19",111.650002,111.839996,110.230003,110.559998,935500,106.879074
"2020-08-20",110.129997,110.650002,109.779999,110.150002,1118700,106.482735
"2020-08-21",110.370003,111.470001,109.860001,111.160004,1495300,107.459106
"2020-08-24",111.489998,112.57,111.150002,112.510002,1332100,108.764168
"2020-08-25",113,113.370003,112.720001,113.190002,2106100,109.421532
"2020-08-26",113.25,115,112.75,113.900002,2122400,110.10788
"2020-08-27",114,115.019997,113.82,114.269997,1289300,110.465561
"2020-08-28",114.230003,114.300003,113.209999,114.010002,1242300,110.214211
"2020-08-31",113.639999,114.470001,113.580002,114,1504600,110.204559
"2020-09-01",113.309998,113.82,112.82,113.639999,1290000,109.856537
"2020-09-02",113.639999,115.059998,113.370003,114.150002,2806600,110.349564
"2020-09-03",113.5,114.120003,110.57,111.220001,2324200,108.032906
"2020-09-04",111.779999,112.279999,109.059998,111.209999,2224200,108.023186
"2020-09-08",111.18,111.68,110.110001,110.459999,1490100,107.294678
"2020-09-09",110.739998,113.410004,110.57,112.559998,1738000,109.334503
"2020-09-10",112.82,112.93,111.349998,111.68,1123700,108.479721
"2020-09-11",111.910004,113.610001,111.589996,113.150002,1505900,109.907593
"2020-09-14",113.830002,116.589996,113.650002,116.360001,2111300,113.025604
"2020-09-15",116.5,117.790001,116.160004,117.07,1709100,113.715256
"2020-09-16",117.529999,118.919998,116.68,116.849998,2050700,113.501564
"2020-09-17",116.150002,117.449997,115.25,115.559998,2097400,112.248535
"2020-09-18",115.239998,116.559998,114.860001,115.269997,3063300,111.966827
"2020-09-21",114.25,114.419998,113.269997,114.300003,2109400,111.024635
"2020-09-22",114.080002,115.480003,113.949997,114.970001,1088400,111.675438
"2020-09-23",113.209999,113.879997,111.699997,111.730003,1580400,108.52829
"2020-09-24",111.82,112.449997,110.25,111.300003,1818500,108.110603
"2020-09-25",111,113.849998,110.849998,113.629997,1174800,110.37384
"2020-09-28",114.599998,115.209999,113.879997,114.040001,1265500,110.772079
"2020-09-29",114.18,114.650002,113.330002,113.410004,1029700,110.160156
"2020-09-30",113.800003,114.32,112.540001,113.169998,2130500,109.927025
"2020-10-01",113.959999,113.989998,112.029999,112.889999,1510700,109.655045
"2020-10-02",111.660004,114.559998,111.580002,113.889999,1089700,110.626389
"2020-10-05",114.830002,115.059998,113.839996,114.239998,1242600,110.966354
"2020-10-06",114.809998,115.050003,112.900002,113.25,1404600,110.004715
"2020-10-07",113.849998,114.400002,113.330002,113.879997,1085800,110.616676
"2020-10-08",114.330002,114.889999,113.910004,114.699997,910500,111.41317
"2020-10-09",115.129997,115.699997,114.68,115.349998,1097200,112.04454
"2020-10-12",115.830002,117.190002,115.68,116.82,1217300,113.47242
"2020-10-13",117.139999,117.599998,115.080002,115.5,1614200,112.190247
"2020-10-14",115.190002,115.82,114.279999,114.580002,1020700,111.296616
"2020-10-15",114.32,115.489998,114,115.269997,884000,111.966827
"2020-10-16",115.580002,116.459999,115.489998,115.870003,1910100,112.54966
"2020-10-19",116,116.209999,113.540001,113.699997,1456400,110.441826
"2020-10-20",114.75,115.589996,114.059998,114.309998,832800,111.03434
"2020-10-21",113.900002,115.150002,113.620003,114.169998,1008000,110.898354
"2020-10-22",114.279999,116.040001,114.059998,115.769997,1324400,112.452499
"2020-10-23",116.25,116.830002,115.5,116.699997,1594000,113.355865
"2020-10-26",115.790001,116.019997,112.809998,113.400002,1392600,110.150429
"2020-10-27",112.019997,112.610001,110.349998,110.629997,2480800,107.459801
"2020-10-28",109.220001,109.82,106.75,106.959999,1884100,103.894966
"2020-10-29",107.379997,108.610001,106.110001,107.550003,2082600,104.468063
"2020-10-30",107.360001,108.330002,106.220001,107.910004,1930700,104.817749
"2020-11-02",109.080002,111.900002,108.900002,110.669998,2064400,107.498657
"2020-11-03",112.199997,115.129997,112.199997,114.709999,2357000,111.422882
"2020-11-04",114.160004,118.169998,114.160004,116.050003,1989200,112.724487
"2020-11-05",117.989998,120.599998,117.059998,119.690002,2682300,116.260193
"2020-11-06",120,120.360001,118.910004,119.279999,1311800,115.861931
"2020-11-09",123.489998,125.559998,120.75,120.959999,2398700,117.49379
"2020-11-10",120.900002,123.739998,120.160004,123.379997,1963400,119.844444
"2020-11-11",123.419998,123.739998,122.260002,122.800003,1025700,119.281075
"2020-11-12",122.449997,122.839996,120.690002,121.089996,1216800,117.620056
"2020-11-13",122.010002,122.599998,121.300003,121.919998,865100,118.426277
"2020-11-16",122.470001,123.190002,121.040001,121.989998,1678100,118.494263
"2020-11-17",121.370003,121.669998,120.610001,121.300003,1634100,117.824043
"2020-11-18",122.139999,122.75,120.470001,120.529999,1204500,117.076111
"2020-11-19",120.150002,121.089996,118.879997,120.580002,1172700,117.12468
"2020-11-20",121.029999,121.209999,119.989998,120.349998,950900,116.90126
"2020-11-23",120.839996,121.010002,119.580002,120.110001,935800,116.668144
"2020-11-24",120.760002,121.540001,120.050003,120.43,1433100,116.978981
"2020-11-25",120,120.099998,118.669998,119.639999,1400600,116.211617
"2020-11-27",119.830002,119.980003,118.870003,119.190002,616100,115.774506
"2020-11-30",118.650002,119.879997,118.290001,119.129997,1566600,115.716225
"2020-12-01",120.169998,120.599998,119.269997,119.639999,1545200,116.211617
"2020-12-02",119.339996,119.75,116.620003,117.129997,1621700,113.773544
"2020-12-03",116.599998,117.93,116.199997,117.139999,1619500,114.315155
