"","WRB.Open","WRB.High","WRB.Low","WRB.Close","WRB.Volume","WRB.Adjusted"
"2020-07-01",38.146667,38.66,37.866669,38.02,1127400,36.492359
"2020-07-02",38.846668,39.02,37.573334,37.646667,825900,36.134018
"2020-07-06",38.533333,38.746666,38,38.16,722100,36.626728
"2020-07-07",37.779999,38.453335,37.686668,37.826668,1052400,36.306793
"2020-07-08",37.720001,38.273335,37.406666,37.853333,927450,36.332386
"2020-07-09",37.68,37.773335,36.759998,37.200001,1096800,35.705299
"2020-07-10",37.026669,38.713333,37.026669,38.540001,1026450,36.991463
"2020-07-13",38.813332,39.66,38.613335,39.026669,1345950,37.458572
"2020-07-14",39.046665,40.040001,38.886665,39.939999,1046850,38.335209
"2020-07-15",40.753334,41.353333,40.366669,41.093334,1483800,39.442207
"2020-07-16",41.080002,42.633331,40.993332,42.233334,1506150,40.536392
"2020-07-17",42.313332,42.540001,41.813332,42.360001,1292550,40.657974
"2020-07-20",42.213333,42.493332,41.846668,42.266666,1333950,40.56839
"2020-07-21",42.400002,43.173332,42.400002,42.68,1274100,40.965115
"2020-07-22",42.953335,43.693333,42.406666,42.619999,2519700,40.907524
"2020-07-23",42.560001,43.246666,42.240002,43,1098450,41.272259
"2020-07-24",43.166668,43.213333,42.493332,42.639999,1036350,40.92672
"2020-07-27",42.453335,42.666668,41.666668,41.913334,1074600,40.229248
"2020-07-28",41.746666,42.006668,41.353333,41.466667,886500,39.800533
"2020-07-29",41.400002,42.273335,41.326668,42.266666,836100,40.56839
"2020-07-30",41.413334,41.866669,41.006668,41.533333,725850,39.864517
"2020-07-31",41.32,41.453335,40.506668,41.166668,991650,39.512589
"2020-08-03",41.259998,41.686668,40.946667,41.426666,755550,39.762142
"2020-08-04",41.326668,41.373333,40.673332,40.799999,756900,39.160652
"2020-08-05",41.193333,41.653332,41.106667,41.293331,860100,39.634163
"2020-08-06",41.153332,41.560001,41.073334,41.459999,957750,39.794136
"2020-08-07",41.213333,42.633331,41.173332,42.593334,797100,40.881927
"2020-08-10",42.726665,43.273335,42.286667,42.919998,875700,41.195465
