"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2020-07-01",75.25,78.239998,73.150002,73.790001,5433900,73.790001
"2020-07-02",75.589996,78.349998,75.129997,77.32,6267200,77.32
"2020-07-06",79.730003,80.989998,74.669998,76.699997,5925000,76.699997
"2020-07-07",74.82,76.019997,73.139999,73.370003,3878800,73.370003
"2020-07-08",73.18,74.559998,71.290001,74.18,4940500,74.18
"2020-07-09",73.989998,74.010002,68.690002,71.129997,5923200,71.129997
"2020-07-10",70.230003,74.220001,69.449997,74.129997,4805600,74.129997
"2020-07-13",76.400002,84.980003,73.089996,81.269997,16235900,81.269997
"2020-07-14",79.239998,80.239998,76.699997,79.300003,5721300,79.300003
"2020-07-15",82.010002,86.959999,81.610001,86.739998,7416200,86.739998
"2020-07-16",84.449997,86.07,83.550003,84.599998,3919000,84.599998
"2020-07-17",84.75,85.18,81.959999,82.760002,2776000,82.760002
"2020-07-20",82.370003,82.949997,79.669998,79.970001,2928100,79.970001
"2020-07-21",81.129997,82.470001,78.93,79.190002,4081600,79.190002
"2020-07-22",78.529999,78.949997,75.360001,76.099998,3964600,76.099998
"2020-07-23",75.830002,75.940002,73.370003,73.900002,5158500,73.900002
"2020-07-24",72.889999,73.410004,71.599998,73.410004,3446900,73.410004
"2020-07-27",72.629997,73.550003,70.019997,70.690002,4832800,70.690002
"2020-07-28",70.620003,74.970001,70.470001,73.370003,4769800,73.370003
"2020-07-29",74.279999,75.400002,73.190002,75.290001,3131500,75.290001
"2020-07-30",76.980003,77.150002,74.699997,76.419998,4378500,76.419998
"2020-07-31",75.989998,76.239998,71.5,72.43,5520500,72.43
"2020-08-03",71.769997,73.68,70.32,73.050003,4446900,73.050003
"2020-08-04",72.639999,74.370003,71.82,72.75,3956100,72.75
"2020-08-05",73.080002,75.239998,70.510002,71.279999,7054700,71.279999
"2020-08-06",70.910004,77.089996,70.769997,76.57,7673800,76.57
"2020-08-07",75.050003,75.959999,73.110001,74.099998,4874800,74.099998
"2020-08-10",78.169998,81.75,77.360001,81.480003,9703800,81.480003
"2020-08-11",85.849998,89.419998,84.849998,88.290001,11414400,88.290001
"2020-08-12",89.489998,89.5,83.370003,85.800003,6416400,85.800003
"2020-08-13",84.290001,86.730003,84.239998,86.669998,3263400,86.669998
"2020-08-14",85.230003,86.089996,84.150002,84.980003,2697100,84.980003
"2020-08-17",85.370003,85.690002,83.199997,83.5,2219900,83.5
"2020-08-18",83.900002,83.900002,81.510002,81.629997,2462300,81.629997
"2020-08-19",82.620003,83.790001,80.959999,81.260002,2549200,81.260002
"2020-08-20",80,81.089996,79.019997,80.279999,2947000,80.279999
"2020-08-21",81.459999,85.580002,81.099998,82.790001,4360800,82.790001
"2020-08-24",83.660004,86.849998,81.349998,86.790001,4485700,86.790001
"2020-08-25",87.589996,88.220001,84.709999,86.209999,2644200,86.209999
"2020-08-26",85.889999,86.029999,84.300003,84.800003,2393000,84.800003
"2020-08-27",84.879997,88.349998,84.68,86.519997,4183100,86.519997
"2020-08-28",87.800003,93.209999,86.709999,91.550003,5852900,91.550003
"2020-08-31",90.629997,90.800003,87.449997,87.449997,3368800,87.449997
"2020-09-01",87.080002,88.650002,85.410004,86.279999,2674300,86.279999
"2020-09-02",86.269997,89.690002,86.059998,89.330002,2435100,89.330002
"2020-09-03",89.18,91.900002,85.800003,87.360001,3209000,87.360001
"2020-09-04",88.309998,89.989998,84.580002,87.720001,3249900,87.720001
"2020-09-08",85.050003,85.410004,82.489998,82.68,4039200,82.68
"2020-09-09",83.660004,83.660004,80.599998,82.949997,3174300,82.949997
