"","WY.Open","WY.High","WY.Low","WY.Close","WY.Volume","WY.Adjusted"
"2020-07-01",22.6,22.690001,22.02,22.200001,2807400,20.426178
"2020-07-02",22.66,23.23,22.16,22.24,4237500,20.462982
"2020-07-06",22.870001,22.940001,22.440001,22.57,3782900,20.766613
"2020-07-07",22.25,22.5,22.030001,22.200001,4030000,20.426178
"2020-07-08",22.35,22.76,22.120001,22.67,4239600,20.858624
"2020-07-09",22.540001,22.83,22.32,22.610001,5045600,20.803417
"2020-07-10",22.73,23.719999,22.620001,23.690001,8283000,21.797125
"2020-07-13",23.959999,24.43,23.700001,23.75,6245700,21.852329
"2020-07-14",23.76,24.530001,23.610001,24.459999,5215500,22.5056
"2020-07-15",24.93,25.190001,24.68,25.059999,6422500,23.057659
"2020-07-16",24.93,25.48,24.469999,25.139999,4317900,23.131266
"2020-07-17",25.42,25.99,25.280001,25.950001,5519300,23.876549
"2020-07-20",25.73,25.950001,25.59,25.629999,3437100,23.582113
"2020-07-21",25.860001,26.030001,25.58,25.68,4942400,23.628117
"2020-07-22",25.5,26.190001,25.5,26.110001,4188300,24.023762
"2020-07-23",25.98,26.73,25.9,26.41,4513100,24.299791
"2020-07-24",26.33,26.43,25.82,26.110001,5207000,24.023762
"2020-07-27",26.290001,27.639999,26.120001,27.48,6734500,25.284296
"2020-07-28",27.42,27.48,26.98,27.25,5674000,25.072674
"2020-07-29",27.440001,28.440001,27.280001,28.35,5825400,26.08478
"2020-07-30",27.85,28.440001,27.469999,28.4,6535700,26.130787
"2020-07-31",28.77,29.030001,27.41,27.809999,11492000,25.587929
"2020-08-03",27.41,28.18,27.309999,28,4839100,25.762749
"2020-08-04",27.799999,27.950001,27.49,27.83,6488200,25.606331
"2020-08-05",28.26,28.5,28.18,28.35,4134300,26.08478
"2020-08-06",28.120001,28.459999,27.77,28.01,3524400,25.77195
"2020-08-07",27.93,28.360001,27.809999,28.35,3187100,26.08478
"2020-08-10",28.389999,28.85,28.280001,28.809999,6062500,26.50803
"2020-08-11",29.15,29.610001,28.83,28.889999,4798900,26.581638
"2020-08-12",29.08,29.33,28.93,29.200001,2876600,26.866867
"2020-08-13",29.059999,29.139999,28.41,28.5,3021800,26.222797
"2020-08-14",28.52,28.59,28.120001,28.360001,3547700,26.093987
"2020-08-17",28.389999,29.24,28.26,28.959999,4833500,26.646042
"2020-08-18",29.059999,29.34,28.84,28.879999,3023000,26.572437
"2020-08-19",28.92,29.42,28.91,28.969999,5322700,26.655241
"2020-08-20",28.76,29.41,28.700001,29,5168000,26.682846
"2020-08-21",29.059999,29.18,28.82,28.82,4295500,26.517227
"2020-08-24",29.1,29.219999,28.84,29.209999,4933100,26.876062
"2020-08-25",29.33,29.34,28.700001,29.15,4868200,26.82086
"2020-08-26",29.15,29.549999,28.99,29.360001,4157100,27.014082
"2020-08-27",29.549999,30.200001,29.48,30.16,6651500,27.750162
"2020-08-28",30.27,31.16,30.040001,30.889999,6167500,28.421829
"2020-08-31",30.889999,30.9,30.09,30.309999,5436800,27.888174
"2020-09-01",30.16,30.870001,29.85,30.780001,3424000,28.320621
"2020-09-02",30.75,30.809999,30.16,30.780001,7513200,28.320621
"2020-09-03",30.99,31,29.540001,29.780001,7682700,27.40052
"2020-09-04",29.969999,30.18,28.709999,29.040001,5325600,26.71965
"2020-09-08",28.65,28.76,27.950001,28.09,5727500,25.845554
"2020-09-09",28.389999,29.129999,28.24,28.690001,4624600,26.397615
"2020-09-10",28.719999,29.24,28.49,28.549999,4394300,26.268801
"2020-09-11",28.66,28.82,28.17,28.43,3521600,26.15839
"2020-09-14",28.83,28.98,28.549999,28.93,3168800,26.618441
"2020-09-15",29,29.16,28.51,28.76,4344900,26.462027
"2020-09-16",28.92,29.219999,28.389999,28.93,4938900,26.618441
"2020-09-17",28.549999,28.889999,28.209999,28.68,3870100,26.388412
"2020-09-18",28.32,28.83,27.73,27.73,6933900,25.514322
"2020-09-21",27.17,27.25,26.620001,26.85,5139100,24.704636
"2020-09-22",26.98,27.82,26.809999,27.719999,4635400,25.505119
"2020-09-23",27.780001,27.860001,26.75,26.85,4088100,24.704636
"2020-09-24",26.85,27.440001,26.51,26.98,3549000,24.824249
"2020-09-25",26.709999,27.370001,26.549999,27.280001,2876400,25.100279
"2020-09-28",28.01,28.41,27.610001,28.309999,3425400,26.047977
"2020-09-29",28.41,28.610001,27.85,28.049999,2999600,25.808754
"2020-09-30",28.209999,28.82,28.120001,28.52,5068000,26.241199
"2020-10-01",28.68,28.950001,28.25,28.790001,4168400,26.489628
"2020-10-02",28.09,29.27,27.93,29.110001,4856400,26.784056
"2020-10-05",29.209999,29.84,29.110001,29.73,3270100,27.354519
"2020-10-06",30,30,28.93,28.99,4686000,26.673645
"2020-10-07",29.389999,29.75,29.360001,29.52,2986200,27.161295
"2020-10-08",29.709999,30.280001,29.549999,30.26,3055800,27.842169
"2020-10-09",30.51,30.540001,29.17,29.32,4259200,26.977278
"2020-10-12",29.42,29.85,29.209999,29.700001,2437900,27.326914
"2020-10-13",29.43,29.65,29.15,29.309999,2486300,26.968077
"2020-10-14",29.389999,29.77,29.25,29.26,2530500,26.922071
"2020-10-15",28.93,29.84,28.790001,29.790001,3238300,27.409725
"2020-10-16",29.85,29.889999,29.450001,29.530001,2871900,27.1705
"2020-10-19",29.67,29.879999,29.16,29.299999,3596700,26.958878
"2020-10-20",29.68,30.200001,29.48,30.110001,4736600,27.704153
"2020-10-21",30.08,30.389999,29.780001,29.860001,4301100,27.474131
"2020-10-22",29.879999,29.93,29.1,29.110001,4677100,26.784056
"2020-10-23",29.35,29.559999,28.98,29.43,2704000,27.078491
"2020-10-26",29.059999,29.25,28.209999,28.450001,4065300,26.17679
"2020-10-27",28.370001,28.469999,27.540001,27.559999,3098900,25.357904
"2020-10-28",26.91,27.68,26.700001,27.43,5201400,25.238295
"2020-10-29",27.33,28.629999,27.16,28.41,4253000,26.139988
"2020-10-30",28.15,28.27,26.57,27.290001,6824300,25.10948
"2020-11-02",27.809999,28.26,27.57,28.120001,5033400,25.873163
"2020-11-03",28.559999,28.75,28.129999,28.389999,4439600,26.121584
"2020-11-04",28.5,28.870001,28.09,28.48,3221400,26.204395
"2020-11-05",28.84,29.27,28.68,28.799999,3181100,26.498825
"2020-11-06",28.85,28.889999,28.15,28.280001,3129100,26.020374
"2020-11-09",30,30.379999,28.08,28.139999,7114100,25.89156
"2020-11-10",27.92,28.030001,27.4,27.780001,5833800,25.560329
"2020-11-11",28.040001,28.809999,27.59,28.389999,5141000,26.121584
"2020-11-12",28.33,28.6,27.5,27.75,4383700,25.532722
"2020-11-13",28.049999,29.190001,27.959999,29.139999,4065600,26.811655
"2020-11-16",29.59,29.709999,29.110001,29.360001,2590500,27.014082
"2020-11-17",29.040001,29.379999,28.700001,29.18,2881800,26.848463
"2020-11-18",29.129999,29.530001,28.77,28.780001,2651900,26.480423
"2020-11-19",28.76,29.049999,28.450001,29.02,2638300,26.701248
"2020-11-20",29.09,29.4,28.57,28.75,4618100,26.452822
"2020-11-23",28.9,29.309999,28.59,29.110001,3498600,26.784056
"2020-11-24",29.459999,29.469999,29.139999,29.24,3613200,26.903669
"2020-11-25",29.139999,29.209999,28.68,29.129999,2728900,26.802456
"2020-11-27",29.200001,29.25,28.57,28.709999,1440700,26.416014
"2020-11-30",28.67,29.059999,28.25,29.040001,6034700,26.71965
"2020-12-01",29.309999,29.5,28.99,29.27,3523400,26.931273
"2020-12-02",29.120001,29.120001,28.549999,28.889999,2554000,26.581638
"2020-12-03",28.84,29.780001,28.809999,29.49,5563600,27.294304
"2020-12-04",30,31.049999,29.92,30.719999,7325900,28.432724
"2020-12-07",30.719999,30.719999,29.83,30.23,3579600,27.979208
"2020-12-08",30.049999,31.02,29.889999,30.799999,4664900,28.506767
"2020-12-09",31.07,31.790001,30.92,31.709999,7236200,29.34901
"2020-12-10",31.540001,31.76,31.190001,31.75,5125500,29.386034
"2020-12-11",31.4,32.060001,31.25,32,4051200,29.617422
"2020-12-14",32.27,33,32.139999,32.360001,4789900,29.950617
"2020-12-15",32.470001,33.560001,32.470001,33.560001,5407900,31.061274
"2020-12-16",33.669998,33.98,33.450001,33.900002,4375700,31.375957
"2020-12-17",34,34.709999,33.950001,34.459999,5326300,31.894258
"2020-12-18",34.389999,34.5,33.5,33.740002,7757000,31.227869
"2020-12-21",33.169998,33.529999,32.779999,33.330002,3345300,30.848396
"2020-12-22",33.48,33.650002,33.080002,33.349998,2312600,30.866903
"2020-12-23",33.759998,34.299999,33.580002,33.610001,4237800,31.107548
"2020-12-24",33.709999,33.880001,33.5,33.849998,1135400,31.329678
"2020-12-28",34,34.080002,33.57,33.709999,2541700,31.200102
"2020-12-29",33.830002,34.029999,33.259998,33.330002,1988100,30.848396
"2020-12-30",33.41,34.009998,33.240002,33.650002,2128900,31.144573
"2020-12-31",33.68,33.73,33.189999,33.529999,2633400,31.033499
"2021-01-04",33.529999,33.669998,32.599998,32.810001,4859100,30.367115
"2021-01-05",32.869999,33.32,32.810001,33.119999,3909000,30.65403
"2021-01-06",33.23,33.59,32.919998,33.290001,5602100,30.811373
"2021-01-07",33.5,33.810001,33.299999,33.610001,3984700,31.107548
"2021-01-08",33.810001,34.360001,33.240002,33.380001,4376000,30.894674
"2021-01-11",33.009998,33.400002,32.900002,33.099998,4554100,30.635523
"2021-01-12",33,33.18,32.560001,32.709999,3958200,30.274555
"2021-01-13",32.740002,33.02,32.099998,32.16,4096600,29.765507
"2021-01-14",32.5,33.110001,32.27,32.669998,3286800,30.237534
"2021-01-15",32.389999,32.650002,31.889999,32.52,2512100,30.098705
"2021-01-19",32.73,32.98,32.439999,32.700001,2997600,30.265303
"2021-01-20",32.740002,33.669998,32.599998,33.540001,3678100,31.042763
"2021-01-21",33.299999,33.529999,33.029999,33.34,5861700,30.857655
"2021-01-22",33.169998,33.360001,32.57,33.209999,6098600,30.737329
"2021-01-25",33.220001,33.759998,33.119999,33.5,5690100,31.005741
"2021-01-26",33.599998,33.860001,33.130001,33.139999,4191500,30.672543
"2021-01-27",32.759998,33.099998,31.559999,32.200001,5528100,29.802532
"2021-01-28",32.470001,33.299999,32.279999,33.02,4746400,30.56148
"2021-01-29",32.599998,33.099998,30.969999,31.190001,7555000,28.867729
"2021-02-01",31.42,32.049999,30.870001,32.040001,5695000,29.654444
"2021-02-02",32.25,32.509998,31.75,32.450001,4107300,30.033918
"2021-02-03",32.529999,34.02,32.32,33.990002,8832600,31.459253
"2021-02-04",33.91,34.310001,33.540001,33.959999,4843300,31.431492
"2021-02-05",34.16,34.560001,33.849998,34.400002,3895200,31.838732
"2021-02-08",34.630001,35.189999,34.43,35.16,4473300,32.542141
"2021-02-09",35.150002,35.23,34.540001,34.57,3781200,31.996069
"2021-02-10",34.77,34.830002,34.169998,34.400002,3067800,31.838732
"2021-02-11",34.470001,34.52,33.75,34.25,3182600,31.699898
"2021-02-12",34.060001,35.130001,34,35.040001,4860600,32.431076
"2021-02-16",35.16,35.619999,34.73,34.889999,4276500,32.292244
"2021-02-17",34.720001,34.849998,33.82,34.16,3165400,31.616598
"2021-02-18",34.150002,34.25,33.580002,33.810001,3435600,31.292654
"2021-02-19",33.919998,35.380001,33.810001,34.990002,4216600,32.3848
"2021-02-22",35.029999,35.849998,34.810001,35.48,5158900,32.838306
"2021-02-23",35.529999,35.549999,34.490002,35.029999,4866600,32.421822
"2021-02-24",34.849998,35.98,34.84,35.900002,5052300,33.227047
"2021-02-25",35.73,36.220001,34.34,34.419998,6591700,31.857235
"2021-02-26",34.380001,34.810001,33.73,33.869999,6625700,31.348188
"2021-03-01",34.419998,35.529999,34.419998,35.060001,4832100,32.449593
"2021-03-02",35,35,33.779999,33.790001,5818900,31.274145
"2021-03-03",33.950001,34.16,33.330002,33.529999,5190800,31.033499
"2021-03-04",33.32,33.91,32.330002,32.810001,6434800,30.521864
"2021-03-05",33.09,33.849998,31.799999,33.759998,6674000,31.405609
"2021-03-08",33.939999,34.75,33.68,34.040001,3715200,31.666082
"2021-03-09",34.369999,34.77,34.310001,34.389999,4032200,31.991671
"2021-03-10",34.790001,35.82,34.639999,35.540001,3655700,33.061474
"2021-03-11",35.509998,36.169998,35.470001,35.669998,3805900,33.1824
"2021-03-12",35.73,35.950001,35.349998,35.91,4776500,33.405666
"2021-03-15",35.799999,36.119999,35.150002,36.09,3649400,33.573116
"2021-03-16",36.049999,36.099998,35.560001,35.630001,3760100,33.145199
"2021-03-17",35.5,36.150002,35.099998,36.150002,4903900,33.628937
"2021-03-18",35.970001,36.07,34.369999,34.470001,3895900,32.066093
"2021-03-19",34.389999,34.66,33.810001,33.880001,7337900,31.517241
"2021-03-22",33.790001,34.52,33.439999,34.290001,3708300,31.898647
"2021-03-23",34.540001,35.009998,33.419998,33.560001,3242700,31.219559
"2021-03-24",33.630001,34.490002,33.509998,33.810001,3524800,31.45212
"2021-03-25",33.66,34.849998,33.43,34.790001,3848300,32.363777
"2021-03-26",35,35.509998,34.68,35.439999,3943700,32.968452
"2021-03-29",35.32,35.830002,34.810001,35.209999,2817200,32.754486
"2021-03-30",35.27,35.720001,34.950001,35.450001,2318000,32.977753
"2021-03-31",35.369999,36.209999,35.209999,35.599998,4275500,33.11729
"2021-04-01",35.990002,36.880001,35.900002,36.84,3793700,34.270809
"2021-04-05",37.009998,37.279999,36.52,36.740002,5538400,34.177792
"2021-04-06",36.700001,37.279999,36.560001,37.139999,4729400,34.549892
"2021-04-07",37.169998,37.27,36.439999,36.830002,4567200,34.261517
"2021-04-08",36.84,37.220001,36.700001,37.029999,2698000,34.447563
"2021-04-09",37,37.650002,36.93,37.540001,3448000,34.922001
"2021-04-12",37.580002,37.799999,36.860001,37.310001,4097500,34.708035
"2021-04-13",37.360001,37.470001,37,37.419998,4003700,34.810364
"2021-04-14",37.369999,38.490002,37.169998,38.02,4457500,35.368523
"2021-04-15",38.27,38.740002,38.099998,38.509998,3442400,35.824348
"2021-04-16",38.799999,39.48,38.779999,39.32,3904400,36.577854
"2021-04-19",39.400002,39.779999,38.779999,38.880001,4544600,36.168549
"2021-04-20",38.709999,39.220001,38.099998,38.380001,4391100,35.703411
"2021-04-21",38.400002,38.5,37.98,38.200001,4629800,35.535965
"2021-04-22",38.189999,38.43,37.720001,37.830002,5159100,35.191769
"2021-04-23",38.200001,38.529999,38,38.200001,4895500,35.535965
"2021-04-26",39.279999,39.630001,38.73,38.84,6518100,36.131336
"2021-04-27",39.439999,39.880001,39.040001,39.380001,5912100,36.633675
"2021-04-28",39.330002,40.119999,39.310001,39.77,6460700,36.996475
"2021-04-29",40.27,40.560001,39.279999,39.639999,5712000,36.875546
"2021-04-30",38.349998,38.919998,37.02,38.77,11960700,36.066219
"2021-05-03",38.939999,39.68,38.23,39.369999,6368400,36.624367
"2021-05-04",39.490002,39.75,38.919998,39.189999,5760300,36.456921
"2021-05-05",39.209999,39.279999,38.419998,38.560001,6584900,35.870865
"2021-05-06",38.619999,39.279999,38.380001,39.220001,5737200,36.484837
"2021-05-07",39.540001,40.18,39.360001,40,5524000,37.210442
"2021-05-10",40.25,41.68,40.080002,40.790001,6567100,37.945343
"2021-05-11",40.099998,40.240002,39.110001,39.639999,6147200,36.875546
"2021-05-12",39.57,39.57,37.5,37.619999,6169600,34.99641
"2021-05-13",37.919998,38.5,37.639999,38.119999,4580900,35.461544
"2021-05-14",38.32,38.75,38.16,38.310001,4172700,35.638294
"2021-05-17",38.23,38.310001,37.84,38.07,4449800,35.415035
"2021-05-18",38.18,38.18,37.23,37.32,7535400,34.717331
"2021-05-19",36.459999,37.32,35.580002,37.279999,12024800,34.680126
"2021-05-20",37.240002,37.490002,36.720001,37.119999,5639200,34.531284
"2021-05-21",37.240002,37.439999,36.919998,37.040001,4788100,34.456867
"2021-05-24",37.349998,37.450001,37.02,37.150002,3081400,34.559196
"2021-05-25",37.25,37.73,37.080002,37.259998,4092600,34.661522
"2021-05-26",37.59,38.169998,37.5,37.93,6129000,35.284794
"2021-05-27",38,38.639999,37.990002,38.32,9088100,35.647602
"2021-05-28",38.560001,38.689999,37.709999,37.959999,4410700,35.312702
"2021-06-01",38.240002,38.73,37.990002,38.639999,4566100,35.945278
"2021-06-02",38.869999,38.869999,37.57,37.759998,5697000,35.126652
"2021-06-03",37.23,37.34,36.23,36.290001,6950700,33.911839
"2021-06-04",36.540001,36.779999,35.82,36.009998,7619300,33.650196
"2021-06-07",36.02,36.18,35.650002,35.700001,6607600,33.360508
"2021-06-08",35.810001,35.919998,35.450001,35.57,7524000,33.239025
"2021-06-09",35.830002,36.299999,35.299999,36.029999,5571000,33.66888
"2021-06-10",36.189999,36.200001,34.98,35,6748100,32.706375
"2021-06-11",34.970001,35.419998,34.860001,35.32,5731800,33.005409
"2021-06-14",35.299999,35.380001,34.220001,34.529999,7715800,32.267178
"2021-06-15",34.43,34.790001,34.009998,34.669998,5368500,32.398006
"2021-06-16",34.73,34.990002,34.330002,34.380001,5194000,32.12701
"2021-06-17",34.32,34.419998,33.330002,34.040001,5566100,31.809292
"2021-06-18",33.59,33.950001,33.380001,33.41,8558000,31.220575
"2021-06-21",33.610001,34.360001,33.549999,34.259998,4646200,32.014874
"2021-06-22",34.32,34.369999,33.919998,34.130001,4008000,31.893393
"2021-06-23",34.150002,34.360001,33.860001,33.919998,3934700,31.697153
"2021-06-24",34.330002,34.389999,33.919998,34.23,4984800,31.986839
"2021-06-25",34.220001,34.59,34.110001,34.290001,5038500,32.042908
"2021-06-28",34.25,34.299999,33.689999,34,4496100,31.771912
"2021-06-29",34.080002,34.549999,34,34.139999,2885000,31.902735
"2021-06-30",34,34.48,33.950001,34.419998,4822000,32.164387
"2021-07-01",34.5,34.669998,34.040001,34.330002,3764100,32.080292
"2021-07-02",34.490002,34.669998,34.220001,34.310001,3790900,32.061596
"2021-07-06",34.16,34.240002,33.549999,33.970001,7477800,31.743877
"2021-07-07",33.790001,34.990002,33.790001,34.84,6737900,32.556866
"2021-07-08",34.34,35.389999,34.099998,35.040001,7197200,32.743759
"2021-07-09",35.310001,35.919998,35.169998,35.82,5387200,33.472649
"2021-07-12",35.68,35.93,35.490002,35.650002,2522700,33.313789
"2021-07-13",35.5,35.689999,34.490002,34.610001,4209100,32.341934
"2021-07-14",34.470001,34.849998,34.259998,34.700001,5126500,32.426041
"2021-07-15",34.82,35.040001,34.41,34.630001,3671200,32.36063
"2021-07-16",34.630001,34.82,33.939999,34.02,4637700,31.790606
"2021-07-19",33.049999,33.400002,32.650002,32.950001,5627500,30.790722
"2021-07-20",33.07,33.77,32.66,33.650002,4337800,31.444853
"2021-07-21",33.889999,34.279999,33.849998,34.080002,3807500,31.846672
"2021-07-22",34,34.189999,33.400002,34.169998,3486500,31.930773
"2021-07-23",34.389999,34.669998,34.07,34.580002,2945000,32.313908
"2021-07-26",34.580002,34.830002,34.27,34.66,2687900,32.38866
"2021-07-27",35.009998,35.009998,34.52,34.849998,3337500,32.566208
"2021-07-28",34.970001,35.02,34.310001,34.369999,3890000,32.117664
"2021-07-29",34.57,35.139999,34.57,34.830002,4149700,32.547523
"2021-07-30",34.119999,34.77,33.470001,33.73,6043000,31.519606
"2021-08-02",33.740002,34.580002,33.720001,34.220001,4163100,31.977497
"2021-08-03",34.400002,34.57,34.02,34.540001,3059200,32.276531
"2021-08-04",34.52,34.619999,34.009998,34.040001,3075000,31.809292
"2021-08-05",34.299999,34.599998,33.990002,34.48,3359000,32.220455
"2021-08-06",34.630001,34.830002,34.389999,34.549999,2971700,32.285866
"2021-08-09",34.549999,34.630001,34.110001,34.130001,3832700,31.893393
"2021-08-10",34.130001,35.02,33.959999,34.610001,2905400,32.341934
"2021-08-11",34.759998,35.41,34.5,35.330002,3051000,33.014751
"2021-08-12",35.439999,35.849998,34.779999,35.02,2644900,32.725071
"2021-08-13",35.080002,35.130001,34.709999,34.82,2444500,32.538177
"2021-08-16",34.5,34.810001,34.23,34.68,2268200,32.407349
"2021-08-17",34.259998,34.279999,33.610001,33.880001,2333300,31.659777
"2021-08-18",33.900002,34.52,33.68,33.799999,2603900,31.585024
"2021-08-19",33.34,34.029999,33.279999,33.91,3637200,31.687807
"2021-08-20",33.77,34.32,33.689999,34.16,2093600,31.921429
"2021-08-23",34.470001,34.580002,34.099998,34.529999,2260300,32.267178
"2021-08-24",34.669998,35,34.5,34.860001,2572700,32.57555
"2021-08-25",34.959999,35.43,34.66,35.259998,2633100,32.949341
"2021-08-26",35.349998,35.439999,34.990002,35.200001,2572600,32.893276
"2021-08-27",35.25,36.099998,35.119999,35.950001,2843900,33.594128
"2021-08-30",36.029999,36.349998,35.759998,36.27,2977000,33.893158
"2021-08-31",36.23,36.299999,35.689999,36,4344000,33.64085
"2021-09-01",36.450001,36.549999,36.009998,36.32,3817900,33.939877
"2021-09-02",36.349998,36.59,36.09,36.580002,3076200,34.34359
"2021-09-03",36.41,36.709999,36.07,36.639999,3476000,34.399925
"2021-09-07",36.459999,36.560001,36,36.130001,4026000,33.921104
"2021-09-08",35.790001,35.849998,35.139999,35.349998,4536300,33.188786
"2021-09-09",35.139999,35.560001,34.849998,34.869999,3371800,32.738132
"2021-09-10",35.049999,35.240002,34.68,34.709999,2488700,32.587914
"2021-09-13",35.119999,35.119999,34.459999,34.549999,2525500,32.437698
"2021-09-14",34.73,34.77,33.990002,34.09,2673500,32.005821
"2021-09-15",33.970001,35.080002,33.970001,35.040001,3958600,32.897743
"2021-09-16",35.009998,35.73,34.93,35.689999,4522600,33.508007
"2021-09-17",35.779999,36.34,35.700001,36.169998,7344300,33.958652
"2021-09-20",35.450001,35.869999,35.209999,35.740002,5547700,33.554947
"2021-09-21",35.830002,35.93,35.23,35.259998,3914100,33.10429
