"","XEL.Open","XEL.High","XEL.Low","XEL.Close","XEL.Volume","XEL.Adjusted"
"2020-07-01",62.349998,64.330002,62.349998,64.190002,4504700,60.77195
"2020-07-02",64.870003,65.07,63.970001,64.099998,3133000,60.686737
"2020-07-06",64.730003,64.980003,63.02,63.580002,2934500,60.194431
"2020-07-07",63.09,63.84,62.669998,63.599998,2532900,60.213367
"2020-07-08",63.439999,64.059998,63,63.77,2889100,60.37431
"2020-07-09",63.07,63.57,62.139999,63.240002,1808000,59.872536
"2020-07-10",63.349998,64.239998,63.220001,63.77,1663200,60.37431
"2020-07-13",63.169998,64.93,63.169998,64.169998,2157600,60.753006
"2020-07-14",63.889999,65.110001,63.889999,64.639999,3041100,61.197975
"2020-07-15",65.07,65.580002,64.040001,64.199997,2137500,60.78141
"2020-07-16",64.459999,65.199997,64.139999,64.989998,2209200,61.529346
"2020-07-17",65.510002,66.5,65.059998,66.389999,2065800,62.854809
"2020-07-20",66.379997,66.660004,65.730003,65.949997,1570600,62.438225
"2020-07-21",66.220001,66.940002,65.769997,66.220001,2984800,62.693848
"2020-07-22",66.190002,68.760002,65.839996,68.379997,2678300,64.738823
"2020-07-23",68.279999,68.779999,67.830002,68.269997,1837500,64.634705
"2020-07-24",68.779999,68.980003,67.489998,67.879997,1503000,64.26545
"2020-07-27",67.980003,68.160004,66.919998,67.510002,1941000,63.915161
"2020-07-28",67.400002,68.900002,67.230003,68.370003,1686400,64.72937
"2020-07-29",68.370003,68.800003,67.949997,68.730003,1741900,65.070198
"2020-07-30",67.879997,69.550003,67.459999,69,2103000,65.325821
"2020-07-31",68.519997,69.400002,68.040001,69.040001,2663600,65.363693
"2020-08-03",68.75,69.010002,68.199997,68.760002,2290100,65.098602
"2020-08-04",68.730003,70.230003,68.389999,69.93,3269600,66.206306
"2020-08-05",70.25,70.25,69.110001,69.790001,2624000,66.073753
"2020-08-06",69.790001,70.339996,69.410004,70.099998,2398800,66.367249
"2020-08-07",70.370003,72.830002,70.190002,72.339996,5061000,68.487968
"2020-08-10",72.230003,73,71.760002,72.449997,2820500,68.592094
"2020-08-11",72.360001,72.470001,70.389999,70.519997,3395900,66.764877
