"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume","XRAY.Adjusted"
"2020-07-01",44.080002,45.950001,44.080002,44.950001,1920400,44.170589
"2020-07-02",45.470001,45.720001,44.040001,44.18,1170500,43.413944
"2020-07-06",44.779999,45.119999,44.310001,44.639999,1039400,43.865963
"2020-07-07",44.25,44.27,43.189999,43.369999,1457600,42.617981
"2020-07-08",43.25,43.25,41.41,42,1513200,41.271736
"2020-07-09",41.650002,41.830002,40.150002,41.27,1666500,40.554398
"2020-07-10",41.380001,42.029999,41.060001,41.98,1118300,41.252079
"2020-07-13",42.43,42.900002,41.66,41.799999,1441500,41.075203
"2020-07-14",41.919998,42.689999,41.599998,42.650002,1780300,41.910473
"2020-07-15",43.5,45.75,43.490002,45.16,1903200,44.376945
"2020-07-16",44.759998,44.759998,44.060001,44.330002,1006500,43.56134
"2020-07-17",44.43,44.950001,44.080002,44.77,861900,43.99371
"2020-07-20",44.689999,45.119999,43.330002,43.48,1150800,42.72607
"2020-07-21",43.57,44.5,43.27,43.84,1377100,43.079834
"2020-07-22",43.970001,44.59,43.66,44.07,1135500,43.305847
"2020-07-23",43.959999,44.459999,43.580002,43.98,1188500,43.217407
"2020-07-24",44.119999,44.119999,42.98,43.240002,1238500,42.490242
"2020-07-27",43.130001,43.529999,42.470001,43.450001,1009700,42.696598
"2020-07-28",43.470001,43.869999,43.380001,43.5,1297800,42.745731
"2020-07-29",43.59,45.330002,43.25,44.790001,983000,44.013359
"2020-07-30",44.060001,45.299999,43.799999,45.240002,2120200,44.455563
"2020-07-31",44.919998,45.34,43.970001,44.599998,1332000,43.826656
"2020-08-03",44.709999,45.099998,44.360001,44.68,1110700,43.90527
"2020-08-04",44.669998,47.490002,44.5,46.689999,2839800,45.880417
"2020-08-05",47.279999,47.360001,46.220001,46.849998,2169900,46.03764
"2020-08-06",44.439999,44.990002,42.32,43.259998,5080700,42.509895
"2020-08-07",43.419998,45.360001,43.349998,45.360001,2843500,44.573483
"2020-08-10",45.450001,45.689999,44.68,45.400002,1574400,44.612793
"2020-08-11",45.709999,46.639999,45.23,45.810001,1898300,45.015678
"2020-08-12",46.119999,46.290001,44.860001,44.959999,1460900,44.180416
"2020-08-13",44.959999,44.959999,44.080002,44.529999,1768200,43.75787
"2020-08-14",44.540001,44.939999,44.09,44.52,1051800,43.748043
"2020-08-17",44.580002,44.580002,43.32,43.68,1613900,42.922604
"2020-08-18",43.650002,43.790001,43.169998,43.240002,1388700,42.490242
"2020-08-19",43.299999,43.52,42.380001,42.52,1581500,41.782722
"2020-08-20",42.259998,42.630001,41.650002,42,1303700,41.271736
