"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"2020-07-01",87.169998,87.669998,85.57,86.449997,1963300,83.429504
"2020-07-02",87.739998,88.620003,86.360001,86.559998,1743100,83.535667
"2020-07-06",87.650002,88.75,86.379997,88.510002,1286900,85.417534
"2020-07-07",87.989998,88.190002,86.68,86.860001,1310700,83.82518
"2020-07-08",86.93,87.459999,86.059998,86.550003,1464000,83.526009
"2020-07-09",86.620003,87.25,85.690002,86.379997,1812100,83.361954
"2020-07-10",86.199997,87.440002,85.699997,87.239998,1026700,84.191902
"2020-07-13",87.68,89.589996,87.050003,87.43,2291100,84.375252
"2020-07-14",87.110001,88.440002,86.800003,88.18,1461500,85.099068
"2020-07-15",89.629997,90.690002,88.690002,90.349998,2272800,87.193253
"2020-07-16",89.900002,90.400002,89.410004,89.690002,1798600,86.556305
"2020-07-17",90.050003,91,89.43,90.57,1293900,87.405548
"2020-07-20",90.349998,91.220001,89.669998,90.910004,1339200,87.733681
"2020-07-21",91.709999,92.110001,90.889999,91.040001,1433500,87.859131
"2020-07-22",90.720001,94.209999,90.660004,93.620003,2341800,90.348991
"2020-07-23",93.339996,94.190002,92.360001,92.870003,1553000,89.625191
"2020-07-24",93.019997,93.470001,92.209999,93.139999,1022600,89.885757
"2020-07-27",93.019997,94.160004,92.57,93.370003,2213300,90.107727
"2020-07-28",93.660004,93.980003,92.32,92.75,2171100,89.509384
"2020-07-29",92.75,95.440002,92.669998,94.830002,2777900,91.516716
"2020-07-30",93.150002,94.199997,90.57,91.639999,3863100,88.438171
"2020-07-31",91.57,91.860001,90.160004,91.050003,1914900,87.868797
"2020-08-03",91.25,92.470001,90.800003,90.919998,1735200,87.743324
"2020-08-04",90.519997,92.410004,90.389999,91.82,1321700,88.611877
"2020-08-05",92.230003,92.529999,90.790001,91,1243200,87.820526
"2020-08-06",90.410004,91.470001,90.160004,90.989998,1194800,87.810875
"2020-08-07",90.540001,91.32,90.040001,90.82,1239700,87.64682
"2020-08-10",90.949997,91.760002,90.900002,91.339996,1087400,88.148643
"2020-08-11",92.089996,93.900002,92.07,92.699997,1429100,89.461128
"2020-08-12",93.300003,93.800003,92.540001,93.160004,1189300,89.905075
"2020-08-13",92.959999,93.720001,92.559998,92.769997,1221200,89.528694
"2020-08-14",92.68,93.160004,92.019997,92.650002,781000,89.412888
"2020-08-17",92.849998,94.099998,92.550003,93.599998,1199200,90.329681
"2020-08-18",94.360001,94.900002,93.599998,94.900002,1463300,91.584274
