"","ZBH.Open","ZBH.High","ZBH.Low","ZBH.Close","ZBH.Volume","ZBH.Adjusted"
"2020-07-01",116.310677,117.456314,114.019417,115.864075,2100891,114.251396
"2020-07-02",117.922333,119.407768,116.689323,117.097084,1507920,115.467232
"2020-07-06",118.330093,119.029129,113.737862,114.631065,1562407,113.035545
"2020-07-07",113.815536,116.126213,113.087379,113.592232,1156896,112.011169
"2020-07-08",113.398056,115.951454,112.427185,115.456314,1994286,113.849312
"2020-07-09",115,115.873787,111.699028,114.213593,1592483,112.623886
"2020-07-10",113.776695,116.019417,112.223305,115.951454,870453,114.337563
"2020-07-13",116.378639,120.592232,116.368935,117.349518,1503594,115.716164
"2020-07-14",117.514565,120.592232,117.155342,120.553398,1375050,118.87545
"2020-07-15",122.79612,128.689316,121.893204,127.883492,2082557,126.103508
"2020-07-16",127.475731,127.495148,125.339806,126.757278,1400491,124.992973
"2020-07-17",127.29126,132.038834,127.067963,131.203888,1688582,129.377701
"2020-07-20",130.378647,131.446609,126.495148,126.873787,1328391,125.107864
"2020-07-21",128.592239,129.660187,128.155334,128.669907,981384,126.87899
"2020-07-22",128.378647,130.718445,128,129.213593,1001675,127.415092
"2020-07-23",129.29126,130.184464,127.825241,128.902908,757565,127.108749
"2020-07-24",128.786407,130.300964,127.94175,130.203888,767659,128.391617
"2020-07-27",129.165054,130.990295,127.116508,130.330093,992817,128.516052
"2020-07-28",131.116501,132.097092,129.349518,130.252426,1208293,128.439453
"2020-07-29",131,135.776703,130.85437,135.514557,1144330,133.628387
"2020-07-30",133.203888,134.825241,131.135925,134.271851,1016816,132.402939
"2020-07-31",133.427185,133.621353,129.475723,130.932037,1348579,129.109619
"2020-08-03",131.553391,134.368927,130.941742,131.766983,1672411,129.932938
"2020-08-04",126.213593,130.388351,125.757278,126.834953,2316058,125.069572
"2020-08-05",129.805832,131.922333,127.79612,129.737869,1204276,127.932083
"2020-08-06",128.980576,129.679611,127.951454,129.116501,987564,127.319359
"2020-08-07",128.912628,135.407761,128.844666,135.320389,1734211,133.436905
"2020-08-10",135.349518,135.43689,133.825241,134.349518,1068625,132.479553
"2020-08-11",135.349518,136.262131,132.252426,134.184464,911447,132.316772
"2020-08-12",135.592239,135.893204,133.631073,134.543686,843570,132.671021
"2020-08-13",133.56311,134.669907,132.56311,133.893204,657552,132.029587
"2020-08-14",133.14563,134.077667,132.29126,133.320389,651887,131.464737
"2020-08-17",133.728149,136.388351,133.495148,134.543686,761788,132.671021
"2020-08-18",134.85437,135.922333,134.56311,134.757278,702048,132.881622
"2020-08-19",135.310684,135.679611,132.786407,133.252426,715026,131.39772
"2020-08-20",132.310684,133.728149,132.077667,132.815536,1255673,130.966904
"2020-08-21",132.796112,132.932037,130.650482,132.194168,937300,130.354202
"2020-08-24",133.126221,135.349518,132.135925,132.825241,749222,130.976471
"2020-08-25",134.242722,134.85437,132.844666,133.592239,572783,131.732819
"2020-08-26",133.087372,133.718445,131.873779,132.844666,905267,130.995636
"2020-08-27",133.737869,137.174759,132.70874,136.43689,1344974,134.537842
"2020-08-28",136.805832,137.679611,135.398056,137.543686,758801,135.629272
"2020-08-31",137.640778,138.067963,136.262131,136.776703,773942,134.87294
"2020-09-01",136.097092,136.689316,135.174759,136.388351,678564,134.48999
"2020-09-02",136.504852,139.155334,135.271851,138.805832,804533,136.87381
"2020-09-03",138.834946,139.223297,135.699036,136.427185,1387719,134.52829
"2020-09-04",137.349518,137.902908,133.116501,135.728149,574534,133.838989
"2020-09-08",134.495148,136.320389,133.495148,134.252426,785066,132.383804
"2020-09-09",135.106796,137.320389,135.058258,136.116501,993950,134.221924
"2020-09-10",136.398056,137.815536,134.543686,134.631073,1086856,132.757172
"2020-09-11",136.106796,136.825241,134.543686,135.155334,641793,133.274139
"2020-09-14",135.922333,137.475723,135.466019,136.495148,841407,134.595306
"2020-09-15",137.097092,140.29126,136.980576,140.097092,972835,138.147125
"2020-09-16",140.747574,143.611649,140.116501,141.679611,1135472,139.707611
"2020-09-17",140.368927,142.126221,138.330093,138.631073,1064196,136.701508
"2020-09-18",138.174759,139.339813,132.621353,134.825241,1859665,132.948639
