"","ZION.Open","ZION.High","ZION.Low","ZION.Close","ZION.Volume","ZION.Adjusted"
"2020-07-01",33.93,34.060001,32.48,32.549999,1365700,30.791088
"2020-07-02",33.32,33.810001,32.259998,32.41,1605900,30.658651
"2020-07-06",33.220001,33.779999,32.459999,32.900002,1263600,31.122179
"2020-07-07",32.380001,32.889999,31.42,31.540001,1758400,29.835669
"2020-07-08",31.379999,32.02,30.940001,31.68,2125100,29.968103
"2020-07-09",31.290001,31.6,30.120001,30.440001,1783900,28.795111
"2020-07-10",30.370001,32.23,30.33,32.209999,1652800,30.469458
"2020-07-13",32.759998,33.259998,31.75,32.880001,2348200,31.103256
"2020-07-14",32.860001,32.93,31.67,32.02,1944700,30.28973
"2020-07-15",32.73,33.700001,32.459999,33.529999,1611800,31.718136
"2020-07-16",33.139999,34.139999,32.91,33.389999,1162400,31.585701
"2020-07-17",33.240002,33.650002,32.459999,32.560001,2325300,30.80055
"2020-07-20",32.34,32.529999,31.629999,32.02,2314700,30.28973
"2020-07-21",31.9,33.880001,31.709999,33.740002,3300900,31.91678
"2020-07-22",33.290001,33.779999,32.990002,33.279999,1909200,31.481642
"2020-07-23",33.400002,34.290001,33.279999,34.02,1574600,32.181652
"2020-07-24",34.25,34.490002,33.619999,33.630001,1520100,31.812727
"2020-07-27",33.389999,33.5,32.369999,32.41,1470800,30.658651
"2020-07-28",32.32,32.75,32.189999,32.259998,1196500,30.516758
"2020-07-29",32.130001,33.419998,31.860001,33.369999,1866100,31.56678
"2020-07-30",32.709999,32.810001,31.67,32.779999,1336000,31.008657
"2020-07-31",32.599998,32.689999,31.940001,32.470001,1442500,30.715412
"2020-08-03",32.599998,32.740002,32.040001,32.450001,1555400,30.696499
"2020-08-04",32.27,32.48,31.92,32.23,1095400,30.488382
"2020-08-05",32.610001,33.130001,32.400002,33.07,1402400,31.28299
"2020-08-06",32.75,33.049999,32.34,32.57,1130200,30.810009
"2020-08-07",32.32,33.790001,32.02,33.790001,1032800,31.964085
"2020-08-10",33.970001,35.080002,33.91,34.700001,1694000,32.824913
"2020-08-11",35.52,36.509998,35.189999,35.389999,1696700,33.477627
"2020-08-12",35.610001,35.759998,33.919998,34.689999,1489900,33.133774
"2020-08-13",34.23,35,33.990002,34.259998,867500,32.723061
"2020-08-14",33.82,34.939999,33.779999,34.490002,836700,32.942749
"2020-08-17",34.209999,34.380001,33.66,33.880001,1283700,32.360111
"2020-08-18",33.880001,34.240002,32.68,32.740002,1209700,31.271255
"2020-08-19",32.939999,33.470001,32.610001,32.91,1691800,31.433626
"2020-08-20",32.450001,32.599998,31.879999,32.130001,1379700,30.68862
"2020-08-21",32.080002,32.330002,31.33,31.59,2072400,30.172842
"2020-08-24",31.709999,33.060001,31.540001,33.040001,1651300,31.557796
"2020-08-25",33.439999,33.82,32.540001,33.060001,1395600,31.5769
"2020-08-26",33.169998,33.169998,32.27,32.279999,1082000,30.831888
"2020-08-27",32.330002,33.580002,32.310001,33.290001,1866300,31.796581
"2020-08-28",33.34,33.5,32.759998,33.02,1423700,31.538692
"2020-08-31",33.060001,33.060001,32.119999,32.16,1905700,30.717274
"2020-09-01",31.860001,32.779999,31.6,32.189999,1583700,30.745926
"2020-09-02",32.130001,32.599998,31.709999,32.389999,1567700,30.936953
"2020-09-03",32.689999,33.939999,32.310001,32.490002,2044900,31.032471
"2020-09-04",33.549999,33.970001,32.810001,33.68,1913700,32.169083
"2020-09-08",33.150002,33.439999,31.809999,32.220001,2326700,30.774584
"2020-09-09",32.66,32.66,31.809999,32.119999,1364600,30.679068
"2020-09-10",32.400002,32.669998,31.059999,31.120001,1693500,29.723928
"2020-09-11",31.08,31.549999,30.85,31.49,1256100,30.077328
"2020-09-14",31.57,32.669998,31.57,32.27,1013700,30.822336
"2020-09-15",32.240002,32.240002,31.1,31.16,1564900,29.762133
"2020-09-16",31.129999,32.369999,30.799999,31.809999,1801600,30.382973
"2020-09-17",31.370001,31.85,31.24,31.52,1138300,30.105986
"2020-09-18",31.280001,31.75,31.030001,31.42,2507800,30.010469
"2020-09-21",30.690001,30.950001,29.49,29.809999,1536100,28.472694
"2020-09-22",29.66,30.110001,28.51,28.620001,1860300,27.336082
"2020-09-23",28.780001,29.389999,28.190001,28.25,1524500,26.982677
"2020-09-24",28.27,28.879999,27.68,28.219999,1255400,26.954025
"2020-09-25",27.82,28.540001,27.549999,28.450001,1546600,27.17371
"2020-09-28",28.99,29.639999,28.83,29.379999,1478700,28.061987
"2020-09-29",29.219999,29.559999,28.540001,28.969999,1437200,27.670382
"2020-09-30",29.08,29.57,28.870001,29.219999,1911600,27.909161
"2020-10-01",29.219999,29.57,28.790001,29.120001,1515200,27.81365
"2020-10-02",28.76,29.959999,28.57,29.85,3176100,28.510904
"2020-10-05",30.389999,31.49,30.389999,31.280001,1567900,29.876751
"2020-10-06",31.66,32.34,30.809999,30.9,1621700,29.5138
"2020-10-07",31.27,32.27,31.27,32.150002,1319000,30.707724
"2020-10-08",32.23,32.330002,31.629999,32.139999,992400,30.69817
"2020-10-09",32.32,32.5,31.469999,31.58,910200,30.163292
"2020-10-12",31.540001,31.9,31.42,31.83,980500,30.402079
"2020-10-13",31.6,31.67,30.51,30.530001,1123200,29.160397
"2020-10-14",30.66,31,30.209999,30.23,1348800,28.87385
"2020-10-15",29.83,31.18,29.83,31.17,1852700,29.771683
"2020-10-16",31.1,31.33,30.459999,31.139999,1831200,29.743031
"2020-10-19",31.360001,31.52,30.219999,30.219999,1515600,28.864302
"2020-10-20",31.58,31.58,30.01,30.52,2618700,29.150845
"2020-10-21",30.33,31.110001,30.040001,30.059999,1875900,28.711481
"2020-10-22",30.25,32.349998,30.059999,32.25,2436700,30.803238
"2020-10-23",32.610001,33.32,32.029999,33.200001,3093000,31.710617
"2020-10-26",32.889999,32.889999,32,32.459999,2216400,31.003813
"2020-10-27",32.119999,32.630001,31.08,31.08,1786100,29.685724
"2020-10-28",30.290001,31.139999,30.27,30.6,1982000,29.227257
"2020-10-29",30.34,31.719999,29.83,31.559999,1885900,30.144188
"2020-10-30",31.33,32.310001,31.24,32.27,1732100,30.822336
"2020-11-02",32.720001,33.349998,31.91,33.220001,1210900,31.729721
"2020-11-03",33.619999,34.700001,33.529999,34.459999,1876800,32.914089
"2020-11-04",32.34,32.84,30.610001,30.940001,4176300,29.552004
"2020-11-05",31.15,32.810001,31.1,32.580002,2332900,31.118433
"2020-11-06",32.919998,33.209999,31.719999,31.950001,1756000,30.516693
"2020-11-09",35,40.900002,34.959999,39.580002,5289500,37.804401
"2020-11-10",39.630001,39.880001,38.459999,38.98,2506200,37.553917
"2020-11-11",38.779999,39,36.490002,37.240002,2713900,35.877583
"2020-11-12",36.240002,36.939999,35.740002,36.330002,1748400,35.000866
"2020-11-13",36.75,37.790001,36.349998,37.48,1486400,36.108795
"2020-11-16",40.34,40.779999,38.91,39.75,2138000,38.295746
"2020-11-17",38.740002,39.709999,38.439999,39.599998,1812900,38.15123
"2020-11-18",39.959999,40.139999,38.93,38.939999,1552500,37.515381
"2020-11-19",38.349998,38.700001,37.720001,38.389999,1993500,36.9855
"2020-11-20",38.009998,38.540001,37.669998,38.279999,2011400,36.879524
"2020-11-23",38.950001,39.639999,38.720001,39.560001,1872500,38.112705
"2020-11-24",40.439999,42.240002,40.060001,41.860001,2578600,40.328552
"2020-11-25",40.880001,41.049999,40.310001,40.950001,2633900,39.451843
"2020-11-27",40.439999,41.02,39.299999,39.459999,2027900,38.016357
"2020-11-30",39.360001,39.799999,38.439999,38.59,12464100,37.178185
"2020-12-01",39.529999,40.16,39.040001,40.07,2455800,38.604042
"2020-12-02",40,41.650002,39.959999,41.599998,3058500,40.078064
"2020-12-03",41.77,42.75,41.509998,42.419998,2379800,40.868061
"2020-12-04",44.150002,44.299999,43,44.02,2967900,42.409531
"2020-12-07",43.939999,43.939999,42.830002,42.91,1731200,41.340137
"2020-12-08",41.900002,43.189999,41.810001,42.959999,1507600,41.388309
"2020-12-09",43.439999,43.849998,42.630001,42.720001,1662200,41.157093
"2020-12-10",42.169998,42.880001,41.900002,42.639999,1051400,41.080013
"2020-12-11",41.380001,42.110001,41.27,41.68,1673200,40.15514
"2020-12-14",42.509998,42.580002,40.689999,40.709999,1531300,39.220623
"2020-12-15",41.240002,41.619999,40.540001,41.610001,1477600,40.087696
"2020-12-16",41.619999,42.040001,41.150002,41.869999,1681600,40.338184
"2020-12-17",41.919998,42.220001,41.110001,41.869999,1435000,40.338184
"2020-12-18",41.619999,41.860001,40.759998,41.080002,3031000,39.577087
"2020-12-21",41.259998,42.560001,40.880001,42.43,2265100,40.877701
"2020-12-22",42.509998,42.860001,42.029999,42.040001,1077800,40.501965
"2020-12-23",42.290001,43.700001,42.290001,43.509998,706800,41.918182
"2020-12-24",43.619999,43.619999,42.66,43.34,327700,41.754406
"2020-12-28",43.66,44.139999,43.259998,43.360001,835600,41.773682
"2020-12-29",43.389999,43.389999,42.619999,42.77,1084100,41.205261
"2020-12-30",42.77,43.470001,42.77,43.220001,728400,41.638798
"2020-12-31",43.200001,43.619999,42.740002,43.439999,736300,41.850742
"2021-01-04",43.080002,43.610001,42.119999,42.93,1625200,41.359406
"2021-01-05",42.880001,43.849998,42.540001,43.610001,1349500,42.01453
"2021-01-06",45.810001,49.040001,45.34,48.509998,3269500,46.735264
"2021-01-07",49.240002,51.099998,48.950001,49.990002,2333900,48.161118
"2021-01-08",49.919998,49.919998,47.639999,48.720001,2201000,46.937584
"2021-01-11",48.259998,49.959999,47.610001,49.869999,1082800,48.045506
"2021-01-12",50,51.16,49,50.360001,1352100,48.517582
"2021-01-13",49.98,50.27,49.25,49.790001,1011800,47.968437
"2021-01-14",50.509998,51.220001,50.09,50.919998,1067600,49.057087
"2021-01-15",49.98,50.450001,48.84,49.139999,1450900,47.342209
"2021-01-19",49.209999,49.540001,48.599998,49.330002,1574800,47.525269
"2021-01-20",49.5,49.5,47.75,48.299999,2056400,46.532948
"2021-01-21",48.599998,49,47.299999,47.389999,1252800,45.656239
"2021-01-22",46.709999,48.16,46.610001,48.119999,1514500,46.359528
"2021-01-25",47.470001,47.790001,46.25,47.209999,1281900,45.482826
"2021-01-26",47.790001,47.82,46.029999,46.049999,1413200,44.365265
"2021-01-27",44.669998,45.099998,43.720001,43.810001,2091800,42.207214
"2021-01-28",44.73,45.5,44.27,45.169998,1608300,43.51746
"2021-01-29",45.290001,45.540001,43.639999,44.139999,1497000,42.525139
"2021-02-01",44.43,44.830002,44.02,44.700001,1300300,43.064651
"2021-02-02",45.279999,46.470001,45,45.799999,1391600,44.124413
"2021-02-03",45.59,46.490002,45.380001,46.029999,1840400,44.345989
"2021-02-04",46.400002,48.48,46.169998,48.220001,1468900,46.455875
"2021-02-05",48.630001,48.849998,47.610001,47.73,1327900,45.983795
"2021-02-08",48.150002,48.709999,47.82,48.650002,1105200,46.870144
"2021-02-09",49.110001,49.700001,48.369999,49.59,1567000,47.775749
"2021-02-10",49.849998,50.650002,48.84,49.580002,1616400,47.766117
"2021-02-11",49.09,49.650002,48.18,48.91,1052700,47.120628
"2021-02-12",48.689999,49.869999,48.689999,49.580002,1114500,47.766117
"2021-02-16",50.110001,51.810001,49.959999,51.299999,1472800,49.423191
"2021-02-17",50.880001,51.509998,50.400002,50.639999,836200,49.112839
"2021-02-18",50.009998,50.68,49.529999,50.029999,1083700,48.521233
"2021-02-19",50.599998,51.93,50.599998,51.700001,1166400,50.140881
"2021-02-22",51.689999,54.290001,51.68,53.360001,1854300,51.750813
"2021-02-23",53.93,54.369999,53.09,54.169998,1159100,52.536381
"2021-02-24",54.060001,57.330002,54.060001,56.779999,1662000,55.06768
"2021-02-25",57.16,57.700001,54.349998,54.57,1648500,52.92432
"2021-02-26",54.099998,54.450001,52.16,53.169998,1710500,51.566544
"2021-03-01",53.830002,55.25,53.790001,54.790001,1283500,53.137684
"2021-03-02",54.389999,55.02,54.049999,54.240002,1027900,52.604279
"2021-03-03",54.259998,56.299999,54.099998,54.240002,1552700,52.604279
"2021-03-04",54.700001,55.709999,52.48,53.959999,1568700,52.332718
"2021-03-05",55.360001,56.880001,53.43,55.790001,2239500,54.107533
"2021-03-08",56.619999,58.349998,56.080002,57.619999,1431000,55.882343
"2021-03-09",56.439999,57.490002,54.73,56.450001,1653300,54.747631
"2021-03-10",56.450001,57.810001,56.029999,57.639999,1333900,55.901741
"2021-03-11",56.27,58.060001,55.98,57.490002,1086600,55.756264
"2021-03-12",58.59,59.369999,58.169998,59.060001,1386400,57.278915
"2021-03-15",58.919998,58.919998,56.84,57.720001,1261700,55.979328
"2021-03-16",57.169998,57.169998,55.509998,56.400002,1075800,54.699135
"2021-03-17",57.369999,58.360001,56.169998,56.75,1281800,55.038582
"2021-03-18",58.009998,60.220001,56.93,57.299999,1816500,55.571999
"2021-03-19",56.5,57.650002,55.650002,56.450001,4998100,54.747631
"2021-03-22",56.349998,56.700001,54.310001,55.279999,1539400,53.612911
"2021-03-23",54.790001,55.220001,53.18,53.580002,1647400,51.96418
"2021-03-24",54.009998,55.049999,52.950001,53.009998,1539000,51.411366
"2021-03-25",52.900002,54.990002,52.18,54.740002,1194300,53.089199
"2021-03-26",55.549999,55.959999,54.669998,55.849998,1257900,54.165718
"2021-03-29",54.939999,55.400002,53.25,53.889999,1059700,52.264828
"2021-03-30",54.439999,56.130001,54.400002,55.91,1225500,54.223915
"2021-03-31",55.240002,55.970001,54.939999,54.959999,1210800,53.302559
"2021-04-01",54.549999,55.43,54.16,55.41,1157100,53.738995
"2021-04-05",56,56.360001,54.900002,55.330002,1069500,53.6614
"2021-04-06",56.709999,56.709999,54.740002,55.43,907300,53.758389
"2021-04-07",55.720001,56.009998,55.200001,55.549999,659000,53.874771
"2021-04-08",55,55.220001,53.990002,55,1319500,53.341358
"2021-04-09",55.810001,56.299999,55.360001,55.939999,981800,54.253006
"2021-04-12",55.900002,56.720001,55.900002,56.580002,914100,54.873711
"2021-04-13",55.959999,56.34,54.889999,55.529999,1203100,53.85537
"2021-04-14",55.380001,56.970001,55.369999,56.240002,1033900,54.543968
"2021-04-15",56.450001,56.450001,54.759998,55.810001,1553700,54.12693
"2021-04-16",56.380001,57.099998,55.849998,56.119999,1122400,54.427574
"2021-04-19",56.23,57.029999,55.560001,56,1340900,54.311195
"2021-04-20",55.130001,55.169998,51.709999,52.349998,3262600,50.771271
"2021-04-21",52.080002,53.720001,51.630001,53.650002,1669000,52.032066
"2021-04-22",53.689999,53.869999,52.5,52.560001,1461500,50.974941
"2021-04-23",52.41,54.73,52.240002,54.27,2023000,52.633369
"2021-04-26",54.599998,55.169998,54.279999,54.610001,1228700,52.96312
"2021-04-27",54.700001,55.200001,54.48,55.150002,1391800,53.486835
"2021-04-28",55.16,55.75,54.82,55.25,1113700,53.583817
"2021-04-29",56.150002,56.720001,55.779999,56.360001,1232100,54.660343
"2021-04-30",55.950001,56.77,55.68,55.799999,1338300,54.117229
"2021-05-03",56.450001,56.619999,55.18,55.84,1159700,54.156029
"2021-05-04",55.77,57.369999,55,57.369999,1592700,55.639885
"2021-05-05",57.380001,58.75,56.709999,58.220001,1280500,56.464252
"2021-05-06",58.66,59.209999,57.630001,59.18,1266800,57.395298
"2021-05-07",57.580002,59.380001,57.32,59.27,1322800,57.48259
"2021-05-10",59.869999,60.439999,58.900002,58.919998,1255500,57.143135
"2021-05-11",58.57,60.189999,58.299999,58.540001,1559000,56.774597
"2021-05-12",58.869999,59.310001,56.950001,57.150002,1338000,55.750317
"2021-05-13",56.209999,59.380001,56.099998,59.080002,1073700,57.633049
"2021-05-14",59.32,60.360001,58.720001,60.200001,1015100,58.72562
"2021-05-17",58.080002,60.41,58.040001,60.27,1214900,58.793903
"2021-05-18",60.080002,60.650002,58.200001,58.25,1647800,56.823376
"2021-05-19",57.970001,57.970001,56.18,57.419998,1726800,56.013702
"2021-05-20",57.029999,57.459999,56.09,57.040001,1297600,55.643009
"2021-05-21",57.099998,58.669998,57.099998,58.099998,1776400,56.677044
"2021-05-24",58.009998,58.07,57.279999,57.529999,911200,56.121006
"2021-05-25",57.849998,58.380001,55.880001,56.02,1375100,54.647991
"2021-05-26",55.950001,56.84,55.66,56.720001,1050400,55.330845
"2021-05-27",57.549999,57.990002,57.23,57.869999,1009000,56.452679
"2021-05-28",57.75,57.959999,57.099998,57.880001,903500,56.46244
"2021-06-01",58.290001,58.73,57.790001,58.130001,750000,56.706314
"2021-06-02",58.650002,58.650002,57.5,58.18,751800,56.755093
"2021-06-03",58.32,59.259998,58.009998,58.290001,1216300,56.862396
"2021-06-04",58.299999,58.299999,57.02,58.130001,641500,56.706314
"2021-06-07",58.43,58.459999,57.73,57.810001,918600,56.394154
"2021-06-08",57.32,58,56.23,57.799999,986700,56.384396
"2021-06-09",57.09,57.419998,56.189999,56.619999,924800,55.233292
"2021-06-10",57.720001,57.740002,55.029999,55.080002,944600,53.731014
"2021-06-11",55.540001,55.790001,54.959999,55.27,963700,53.916363
"2021-06-14",55.169998,55.560001,53.709999,54.02,909000,52.696976
"2021-06-15",54.130001,54.84,53.66,54.52,1032600,53.184727
"2021-06-16",54.16,55.810001,53.41,55.130001,1620800,53.779789
"2021-06-17",55.700001,55.790001,51.52,51.619999,1730800,50.355755
"2021-06-18",50.669998,51.189999,49.790001,50.299999,3206800,49.068081
"2021-06-21",50.5,52.77,50.5,52.68,2082200,51.389793
"2021-06-22",52.740002,53.130001,51.669998,52.82,1254500,51.52636
"2021-06-23",53.110001,53.490002,52.779999,53.139999,1133900,51.838524
"2021-06-24",53.48,54.43,52.830002,54.209999,1346500,52.88232
"2021-06-25",54.240002,55.84,53.98,55.48,2221400,54.121216
