"","ZTS.Open","ZTS.High","ZTS.Low","ZTS.Close","ZTS.Volume","ZTS.Adjusted"
"2020-07-01",137.289993,138.970001,136.699997,137.190002,1226800,135.372879
"2020-07-02",138.580002,139.050003,137.369995,137.660004,1307300,135.836655
"2020-07-06",138.570007,139.600006,137.960007,138.600006,1297800,136.764221
"2020-07-07",138.330002,140.559998,138.110001,138.440002,1140300,136.606323
"2020-07-08",138.720001,139.690002,137.429993,138.809998,932600,136.971405
"2020-07-09",138.809998,139.559998,135.339996,137.679993,962500,135.856369
"2020-07-10",137.419998,137.830002,135.619995,137.100006,1821100,135.284103
"2020-07-13",138.460007,141.710007,138.119995,138.309998,1569200,136.478043
"2020-07-14",138.229996,140.610001,138.160004,140.399994,1163300,138.540359
"2020-07-15",141.559998,143.789993,141.039993,142.919998,2223200,141.026993
"2020-07-16",142.600006,142.960007,141.470001,142.940002,942000,141.24437
"2020-07-17",143.800003,145.279999,142.229996,144.660004,1518100,142.943985
"2020-07-20",145.089996,146.690002,144.320007,145.970001,1173700,144.238434
"2020-07-21",146.5,147,144.169998,145.009995,1659600,143.289825
"2020-07-22",145.410004,146.100006,144.050003,145.110001,1020900,143.388641
"2020-07-23",145.509995,147.089996,143.630005,144.070007,1051500,142.360977
"2020-07-24",143.710007,144.339996,141.880005,144.220001,1214800,142.509171
"2020-07-27",144.199997,147.070007,143.740005,146.919998,1256700,145.17717
"2020-07-28",147.100006,147.800003,145.720001,145.979996,2257500,144.248291
"2020-07-29",146.380005,148.179993,146.039993,147.589996,1059600,145.839218
"2020-07-30",146.029999,149.490005,146.009995,149.110001,1129300,147.341187
"2020-07-31",148.809998,151.910004,148.470001,151.679993,2250100,149.880692
"2020-08-03",152.190002,155.419998,151.729996,154.509995,1902300,152.677109
"2020-08-04",154,155.910004,153.190002,155.639999,1682300,153.793716
"2020-08-05",156,158.369995,155.779999,157.720001,1587200,155.84903
"2020-08-06",158.460007,163.979996,157.720001,161.330002,2068700,159.416214
"2020-08-07",161.949997,162,157.410004,158.880005,1515700,156.995285
"2020-08-10",159.330002,159.929993,157.190002,158.089996,1393200,156.214661
"2020-08-11",158.869995,159.479996,156.660004,156.929993,1136700,155.06842
"2020-08-12",157.309998,160.860001,156.889999,159.360001,1386500,157.469604
"2020-08-13",158.669998,159.869995,158.050003,158.869995,1192600,156.985413
"2020-08-14",158.669998,158.770004,155.740005,157.050003,1780200,155.186981
"2020-08-17",157.919998,158.580002,156.809998,157.419998,2368000,155.552628
"2020-08-18",157.509995,160.529999,157.089996,160.169998,1476700,158.269989
"2020-08-19",160.039993,160.979996,158.369995,158.580002,1076500,156.698837
"2020-08-20",158.029999,158.889999,157.089996,158.539993,1828500,156.659317
"2020-08-21",158.759995,159.220001,157.190002,158.369995,1259500,156.491333
"2020-08-24",159.75,159.75,156.210007,156.759995,1721500,154.900421
"2020-08-25",157.990005,158.869995,156.639999,158.580002,1076100,156.698837
"2020-08-26",157.580002,160.410004,157.220001,159.759995,1917800,157.864838
"2020-08-27",160,161.029999,158.570007,159.610001,1121700,157.716614
"2020-08-28",159.410004,160.179993,158.589996,160,926000,158.10199
"2020-08-31",159.850006,161.570007,159.259995,160.100006,1392800,158.200836
"2020-09-01",160.710007,162.139999,159.979996,162.050003,1273100,160.127686
"2020-09-02",162.100006,165.820007,161.820007,165.330002,1790200,163.368759
"2020-09-03",165.279999,165.520004,157.369995,158.800003,1794100,156.916245
"2020-09-04",159.160004,160.210007,155.289993,157.240005,1552500,155.374771
"2020-09-08",156.229996,156.270004,152.5,153.509995,1829100,151.68898
"2020-09-09",155.199997,160.699997,155.199997,158.910004,1408600,157.024948
"2020-09-10",158.899994,161.520004,157.210007,158.100006,1356800,156.224548
"2020-09-11",159,159.619995,157.850006,158.589996,854100,156.708725
"2020-09-14",159.940002,161.970001,159.610001,160.860001,2092000,158.951797
"2020-09-15",162.25,163.910004,161.699997,162.279999,1039900,160.354935
"2020-09-16",163.520004,163.990005,161.130005,161.25,1721200,159.337173
"2020-09-17",160.419998,160.509995,158,160.470001,1258100,158.566437
"2020-09-18",160.110001,161.970001,159.119995,160.869995,2518700,158.961685
"2020-09-21",159.339996,161.070007,157.419998,160.970001,1170000,159.060471
"2020-09-22",160.350006,162.479996,160.100006,161.509995,1545000,159.59407
"2020-09-23",161.970001,162.669998,159.119995,159.330002,1301200,157.439941
"2020-09-24",158.839996,159.509995,156.529999,157.979996,1415600,156.105957
"2020-09-25",157.429993,161.460007,157.25,160.839996,1195900,158.932022
"2020-09-28",162.160004,164.339996,161.160004,161.320007,2293800,159.406342
"2020-09-29",161.619995,163.410004,161.440002,162.479996,1046300,160.552567
"2020-09-30",162.919998,166.789993,162.75,165.369995,1906700,163.40831
"2020-10-01",166.229996,166.779999,163.100006,164.029999,1061900,162.084198
"2020-10-02",162.380005,164.710007,162,163.550003,1042600,161.609894
"2020-10-05",164.110001,165.070007,162.529999,163.449997,1274600,161.511063
"2020-10-06",164.5,164.5,160.839996,161.520004,1194900,159.603973
"2020-10-07",161.699997,163.490005,158.949997,159.910004,3591700,158.013077
"2020-10-08",161.929993,163.559998,159.889999,163.169998,3642400,161.23439
"2020-10-09",163.979996,165.639999,162.860001,165.429993,1620900,163.467606
"2020-10-12",167.080002,168.960007,166.190002,168.550003,1582300,166.550583
"2020-10-13",167.839996,168.059998,165.309998,165.320007,1515800,163.358902
"2020-10-14",166.539993,166.699997,162.789993,163.660004,1319500,161.718582
"2020-10-15",162.050003,163.229996,161.210007,162.990005,1363800,161.056534
"2020-10-16",163.979996,165.850006,163.320007,163.550003,1631000,161.609894
"2020-10-19",164.619995,165,159.419998,159.990005,1271100,158.092133
"2020-10-20",160.279999,161.539993,159.119995,159.690002,2145700,157.993179
"2020-10-21",159.5,162.130005,159.5,161.179993,1456700,159.467346
